# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.276666666666667
0.6	0.303333333333333
1.2	0.383333333333333
1.8	0.443333333333333
2.4	0.503333333333333
3	0.581666666666667
3.6	0.613333333333333
4.2	0.711666666666667
4.8	0.741666666666667
5.4	0.776666666666667
6	0.845
6.6	0.856666666666667
7.2	0.878333333333333
7.8	0.871666666666667
8.4	0.866666666666667
9	0.816666666666667
9.6	0.791666666666667
10.2	0.775
10.8	0.703333333333333
11.4	0.603333333333333
12	0.543333333333333
12.6	0.503333333333333
13.2	0.408333333333333
13.8	0.353333333333333
14.4	0.328333333333333
15	0.211666666666667
15.6	0.185
16.2	0.138333333333333
16.8	0.115
17.4	0.143333333333333
18	0.0666666666666667
18.6	0.0733333333333333
19.2	0.09
19.8	0.108333333333333
20.4	0.0916666666666667
21	0.0933333333333333
21.6	0.105
22.2	0.103333333333333
22.8	0.0983333333333333
23.4	0.1
24	0.1
24.6	0.0766666666666667
25.2	0.103333333333333
25.8	0.0733333333333333
26.4	0.0733333333333333
27	0.126666666666667
27.6	0.113333333333333
28.2	0.16
28.8	0.2
29.4	0.25
30	0.283333333333333
30.6	0.346666666666667
31.2	0.426666666666667
31.8	0.49
32.4	0.528333333333333
33	0.6
33.6	0.681666666666667
34.2	0.766666666666667
34.8	0.77
35.4	0.798333333333333
36	0.828333333333333
36.6	0.85
37.2	0.868333333333333
37.8	0.863333333333333
38.4	0.836666666666667
39	0.776666666666667
39.6	0.748333333333333
40.2	0.686666666666667
40.8	0.638333333333333
41.4	0.556666666666667
42	0.463333333333333
42.6	0.45
43.2	0.368333333333333
43.8	0.286666666666667
44.4	0.225
45	0.198333333333333
45.6	0.188333333333333
46.2	0.138333333333333
46.8	0.095
47.4	0.075
48	0.103333333333333
48.6	0.08
49.2	0.103333333333333
49.8	0.0983333333333333
50.4	0.105
51	0.0933333333333333
51.6	0.11
52.2	0.115
52.8	0.0916666666666667
53.4	0.0833333333333333
54	0.0966666666666667
54.6	0.1
55.2	0.0983333333333333
55.8	0.106666666666667
56.4	0.121666666666667
57	0.0916666666666667
57.6	0.12
58.2	0.175
58.8	0.24
59.4	0.228333333333333
60	0.331666666666667
