# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 51
0	0.87
38.8	0.843333333333333
77.6	0.736666666666667
116.4	0.516666666666667
155.2	0.363333333333333
194	0.173333333333333
232.8	0.233333333333333
271.6	0.256666666666667
310.4	0.373333333333333
349.2	0.546666666666667
388	0.803333333333333
426.8	0.88
465.6	0.846666666666667
504.4	0.736666666666667
543.2	0.523333333333333
582	0.313333333333333
620.8	0.22
659.6	0.18
698.4	0.29
737.2	0.396666666666667
776	0.55
814.8	0.76
853.6	0.856666666666667
892.4	0.833333333333333
931.2	0.78
970	0.713333333333333
1008.8	0.396666666666667
1047.6	0.333333333333333
1086.4	0.25
1125.2	0.216666666666667
1164	0.333333333333333
1202.8	0.516666666666667
1241.6	0.576666666666667
1280.4	0.743333333333333
1319.2	0.836666666666667
1358	0.83
1396.8	0.746666666666667
1435.6	0.603333333333333
1474.4	0.416666666666667
1513.2	0.25
1552	0.256666666666667
1590.8	0.236666666666667
1629.6	0.416666666666667
1668.4	0.643333333333333
1707.2	0.83
1746	0.836666666666667
1784.8	0.806666666666667
1823.6	0.646666666666667
1862.4	0.6
1901.2	0.44
1940	0.36
