# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 51
0	0.956666666666667
370	0.953333333333333
740	0.95
1110	0.95
1480	0.933333333333333
1850	0.936666666666667
2220	0.96
2590	0.95
2960	0.946666666666667
3330	0.946666666666667
3700	0.96
4070	0.933333333333333
4440	0.896666666666667
4810	0.936666666666667
5180	0.883333333333333
5550	0.9
5920	0.866666666666667
6290	0.856666666666667
6660	0.823333333333333
7030	0.813333333333333
7400	0.766666666666667
7770	0.783333333333333
8140	0.763333333333333
8510	0.77
8880	0.75
9250	0.733333333333333
9620	0.71
9990	0.73
10360	0.736666666666667
10730	0.726666666666667
11100	0.663333333333333
11470	0.7
11840	0.683333333333333
12210	0.7
12580	0.713333333333333
12950	0.686666666666667
13320	0.706666666666667
13690	0.663333333333333
14060	0.67
14430	0.673333333333333
14800	0.626666666666667
15170	0.653333333333333
15540	0.616666666666667
15910	0.646666666666667
16280	0.676666666666667
16650	0.623333333333333
17020	0.653333333333333
17390	0.586666666666667
17760	0.613333333333333
18130	0.646666666666667
18500	0.623333333333333
