# waittime_set	su00	su01	su10	su11
# "waittime"	"su00"	"su01"	"su10"	"su11"
# 16
0	0.192	0.03	0.76	0.018
2	0.09	0.028	0.856	0.026
4	0.138	0.032	0.798	0.032
6	0.288	0.034	0.646	0.032
8	0.454	0.012	0.498	0.036
10	0.688	0.016	0.26	0.036
12	0.838	0.03	0.108	0.024
14	0.916	0.042	0.024	0.018
16	0.872	0.034	0.072	0.022
18	0.744	0.024	0.214	0.018
20	0.542	0.022	0.406	0.03
22	0.278	0.044	0.644	0.034
24	0.124	0.028	0.81	0.038
26	0.1	0.036	0.824	0.04
28	0.164	0.028	0.786	0.022
30	0.31	0.016	0.636	0.038
