# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	169.2919921875	0.68
0.25	169.102478027344	0.67
0.5	174.871215820312	0.775
0.75	172.271423339844	0.725
1	173.035583496094	0.725
1.25	173.080444335938	0.74
1.5	171.958923339844	0.735
1.75	169.246826171875	0.66
2	171.719360351562	0.73
2.25	166.387634277344	0.595
2.5	170.874938964844	0.695
2.75	163.176574707031	0.56
3	164.233703613281	0.585
3.25	157.60986328125	0.49
3.5	155.361633300781	0.43
3.75	150.832214355469	0.4
4	147.653503417969	0.34
4.25	141.596069335938	0.25
4.5	140.428771972656	0.2
4.75	140.58349609375	0.215
5	141.427917480469	0.215
5.25	140.897521972656	0.18
5.5	138.985290527344	0.17
5.75	134.470825195312	0.105
6	137.156372070312	0.15
6.25	132.963562011719	0.095
6.5	134.425354003906	0.1
6.75	132.707214355469	0.095
7	134.128723144531	0.065
7.25	132.950439453125	0.09
7.5	131.363525390625	0.055
7.75	131.293640136719	0.06
8	132.467651367188	0.095
8.25	134.489440917969	0.09
8.5	134.617309570312	0.09
8.75	135.473937988281	0.11
9	136.514282226562	0.105
9.25	135.546875	0.125
9.5	132.850952148438	0.07
9.75	131.785888671875	0.08
10	138.268737792969	0.155
10.25	135.476989746094	0.14
10.5	139.770202636719	0.17
10.75	137.794799804688	0.13
11	138.866577148438	0.15
11.25	141.943969726562	0.23
11.5	142.756652832031	0.25
11.75	142.102966308594	0.265
12	146.018676757812	0.31
12.25	146.678466796875	0.31
12.5	157.230529785156	0.455
12.75	158.624877929688	0.495
13	159.267578125	0.51
13.25	159.674377441406	0.52
13.5	167.442932128906	0.61
13.75	168.505554199219	0.65
14	168.993225097656	0.66
14.25	166.488647460938	0.67
14.5	164.4287109375	0.625
14.75	167.852172851562	0.705
15	175.37353515625	0.79
15.25	168.313598632812	0.685
15.5	171.97265625	0.745
15.75	168.006591796875	0.68
16	167.760314941406	0.655
16.25	165.094909667969	0.595
16.5	166.512756347656	0.645
16.75	161.41845703125	0.57
17	157.761535644531	0.505
17.25	164.455871582031	0.585
17.5	154.732971191406	0.44
17.75	151.827087402344	0.39
18	146.321411132812	0.285
18.25	146.817016601562	0.32
18.5	147.687683105469	0.33
18.75	139.391784667969	0.19
19	141.837463378906	0.205
19.25	135.485534667969	0.135
19.5	136.03759765625	0.155
19.75	135.264892578125	0.14
20	134.727478027344	0.125
20.25	131.058044433594	0.085
20.5	130.396118164062	0.065
20.75	132.525634765625	0.105
21	133.672790527344	0.105
21.25	132.066345214844	0.085
21.5	133.042602539062	0.095
21.75	133.314819335938	0.1
22	131.624450683594	0.095
22.25	131.639099121094	0.075
22.5	134.674682617188	0.11
22.75	133.455200195312	0.095
23	133.829956054688	0.1
23.25	133.674011230469	0.11
23.5	133.964233398438	0.12
23.75	132.773132324219	0.11
24	136.007385253906	0.115
24.25	135.851745605469	0.145
24.5	135.615844726562	0.16
24.75	139.61181640625	0.185
25	136.342163085938	0.16
25.25	138.565979003906	0.175
25.5	142.593994140625	0.225
25.75	146.138305664062	0.29
26	144.043884277344	0.275
26.25	150.17333984375	0.355
26.5	151.007385253906	0.375
26.75	153.460388183594	0.43
27	154.476928710938	0.445
27.25	163.720092773438	0.59
27.5	156.246032714844	0.49
27.75	158.772277832031	0.5
28	164.239807128906	0.595
28.25	170.965576171875	0.69
28.5	168.955078125	0.645
28.75	169.115600585938	0.655
29	174.781494140625	0.755
29.25	173.233337402344	0.725
29.5	167.395935058594	0.67
29.75	168.648376464844	0.69
30	173.059997558594	0.76
