# waittime_end_set	su_S_North
# "waittime_end"	"su_S_North"
# 21
0	0.773
30	0.734
60	0.691
90	0.615
120	0.52
150	0.498
180	0.511
210	0.462
240	0.526
270	0.568
300	0.655
330	0.717
360	0.803
390	0.778
420	0.801
450	0.763
480	0.691
510	0.65
540	0.588
570	0.549
600	0.536
