# waittime_end_set	su_S_North
# "waittime_end"	"su_S_North"
# 21
0	0.692
30	0.687
60	0.684
90	0.641
120	0.671
150	0.64
180	0.627
210	0.614
240	0.665
270	0.703
300	0.678
330	0.69
360	0.667
390	0.701
420	0.729
450	0.687
480	0.655
510	0.666
540	0.646
570	0.639
600	0.659
