# vP3_Q2Q3_AC_set	su_S_North
# "vP3_Q2Q3_AC"	"su_S_North"
# 21
40	0.894
39.75	0.884
39.5	0.88
39.25	0.846
39	0.854
38.75	0.878
38.5	0.862
38.25	0.83
38	0.798
37.75	0.786
37.5	0.726
37.25	0.674
37	0.662
36.75	0.608
36.5	0.648
36.25	0.614
36	0.714
35.75	0.734
35.5	0.818
35.25	0.82
35	0.838
