# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 95
0	0.443333333333333
21	0.57
42	0.62
63	0.69
84	0.773333333333333
105	0.833333333333333
126	0.843333333333333
147	0.803333333333333
168	0.82
189	0.826666666666667
210	0.713333333333333
231	0.696666666666667
252	0.613333333333333
273	0.546666666666667
294	0.446666666666667
315	0.42
336	0.286666666666667
357	0.226666666666667
378	0.183333333333333
399	0.183333333333333
420	0.19
441	0.23
462	0.3
483	0.406666666666667
504	0.5
525	0.616666666666667
546	0.666666666666667
567	0.726666666666667
588	0.76
609	0.826666666666667
630	0.856666666666667
651	0.823333333333333
672	0.803333333333333
693	0.763333333333333
714	0.696666666666667
735	0.736666666666667
756	0.59
777	0.536666666666667
798	0.426666666666667
819	0.33
840	0.3
861	0.286666666666667
882	0.193333333333333
903	0.216666666666667
924	0.216666666666667
945	0.246666666666667
966	0.343333333333333
987	0.4
1008	0.506666666666667
1029	0.48
1050	0.583333333333333
1071	0.746666666666667
1092	0.803333333333333
1113	0.82
1134	0.816666666666667
1155	0.78
1176	0.723333333333333
1197	0.736666666666667
1218	0.72
1239	0.643333333333333
1260	0.52
1281	0.5
1302	0.436666666666667
1323	0.283333333333333
1344	0.31
1365	0.3
1386	0.263333333333333
1407	0.216666666666667
1428	0.31
1449	0.333333333333333
1470	0.466666666666667
1491	0.48
1512	0.47
1533	0.59
1554	0.59
1575	0.663333333333333
1596	0.673333333333333
1617	0.766666666666667
1638	0.72
1659	0.746666666666667
1680	0.75
1701	0.71
1722	0.63
1743	0.636666666666667
1764	0.42
1785	0.396666666666667
1806	0.433333333333333
1827	0.476666666666667
1848	0.283333333333333
1869	0.34
1890	0.29
1911	0.4
1932	0.24
1953	0.39
1974	0.543333333333333
