# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.0975	0.05	0.7325	0.12	0.8525	0.17
600	0.14	0.0425	0.72	0.0975	0.8175	0.14
1200	0.1375	0.05	0.6925	0.12	0.8125	0.17
1800	0.1275	0.035	0.755	0.0825	0.8375	0.1175
2400	0.12	0.055	0.695	0.13	0.825	0.185
3000	0.1075	0.035	0.72	0.1375	0.8575	0.1725
3600	0.1275	0.0425	0.715	0.115	0.83	0.1575
4200	0.125	0.035	0.745	0.095	0.84	0.13
4800	0.155	0.055	0.6675	0.1225	0.79	0.1775
5400	0.2125	0.0275	0.6525	0.1075	0.76	0.135
6000	0.3575	0.07	0.505	0.0675	0.5725	0.1375
6600	0.445	0.06	0.4225	0.0725	0.495	0.1325
7200	0.365	0.0425	0.505	0.0875	0.5925	0.13
7800	0.4275	0.055	0.4475	0.07	0.5175	0.125
8400	0.37	0.0525	0.48	0.0975	0.5775	0.15
9000	0.4575	0.08	0.3775	0.085	0.4625	0.165
9600	0.4	0.0625	0.465	0.0725	0.5375	0.135
10200	0.3975	0.08	0.4325	0.09	0.5225	0.17
10800	0.3825	0.0775	0.4475	0.0925	0.54	0.17
11400	0.3825	0.0775	0.4375	0.1025	0.54	0.18
12000	0.42	0.0825	0.405	0.0925	0.4975	0.175
12600	0.405	0.0825	0.4	0.1125	0.5125	0.195
13200	0.425	0.0625	0.44	0.0725	0.5125	0.135
13800	0.4	0.0875	0.4325	0.08	0.5125	0.1675
14400	0.41	0.1025	0.4125	0.075	0.4875	0.1775
15000	0.46	0.0675	0.3675	0.105	0.4725	0.1725
15600	0.4325	0.0725	0.4125	0.0825	0.495	0.155
16200	0.3875	0.0725	0.465	0.075	0.54	0.1475
16800	0.3925	0.0775	0.4525	0.0775	0.53	0.155
17400	0.3975	0.0525	0.46	0.09	0.55	0.1425
18000	0.435	0.08	0.425	0.06	0.485	0.14
18600	0.46	0.08	0.3675	0.0925	0.46	0.1725
19200	0.42	0.08	0.4075	0.0925	0.5	0.1725
19800	0.455	0.05	0.415	0.08	0.495	0.13
20400	0.4375	0.0875	0.3975	0.0775	0.475	0.165
21000	0.42	0.0675	0.4175	0.095	0.5125	0.1625
21600	0.405	0.06	0.4275	0.1075	0.535	0.1675
22200	0.3975	0.0575	0.435	0.11	0.545	0.1675
22800	0.39	0.0725	0.4375	0.1	0.5375	0.1725
23400	0.44	0.065	0.4125	0.0825	0.495	0.1475
24000	0.41	0.085	0.395	0.11	0.505	0.195
24600	0.3975	0.0675	0.42	0.115	0.535	0.1825
25200	0.435	0.0725	0.4075	0.085	0.4925	0.1575
25800	0.435	0.0625	0.385	0.1175	0.5025	0.18
26400	0.415	0.075	0.41	0.1	0.51	0.175
27000	0.42	0.0675	0.4	0.1125	0.5125	0.18
27600	0.38	0.0875	0.4025	0.13	0.5325	0.2175
28200	0.45	0.0875	0.365	0.0975	0.4625	0.185
28800	0.3825	0.1075	0.4225	0.0875	0.51	0.195
29400	0.4025	0.0775	0.445	0.075	0.52	0.1525
30000	0.3825	0.0925	0.4125	0.1125	0.525	0.205
