# vP2_set	vP3_set	ch1	ch2	ch3	ch4
# "vP2"	"vP3"	"ch1"	"ch2"	"ch3"	"ch4"
# 61	61
25	6	-59.89990234375	134.0087890625	219.775390625	-216.73583984375
25	7	-68.05419921875	135.48583984375	224.01123046875	-225.01220703125
25	8	-60.5712890625	127.099609375	225.3662109375	-227.05078125
25	9	-56.0546875	133.14208984375	229.16259765625	-231.396484375
25	10	-63.48876953125	132.91015625	230.6884765625	-239.92919921875
25	11	-59.24072265625	136.279296875	226.94091796875	-238.0859375
25	12	-54.40673828125	131.1279296875	231.3720703125	-244.10400390625
25	13	-58.7158203125	125.74462890625	231.4697265625	-238.8427734375
25	14	-57.421875	129.69970703125	226.171875	-242.138671875
25	15	-57.75146484375	130.89599609375	230.46875	-241.7724609375
25	16	-59.53369140625	134.50927734375	230.01708984375	-245.60546875
25	17	-57.40966796875	128.69873046875	227.5146484375	-243.81103515625
25	18	-57.11669921875	132.470703125	232.60498046875	-245.556640625
25	19	-51.37939453125	125.64697265625	231.5185546875	-244.0185546875
25	20	-56.982421875	127.74658203125	231.103515625	-245.4833984375
25	21	-60.205078125	125.9521484375	228.50341796875	-244.5556640625
25	22	-57.67822265625	128.0517578125	232.0068359375	-249.40185546875
25	23	-52.294921875	133.48388671875	235.2294921875	-250.45166015625
25	24	-56.93359375	125.35400390625	230.6640625	-248.76708984375
25	25	-56.103515625	125.79345703125	238.0615234375	-247.55859375
25	26	-54.50439453125	126.0986328125	234.48486328125	-250.08544921875
25	27	-51.11083984375	127.2705078125	233.1787109375	-246.17919921875
25	28	-56.72607421875	133.09326171875	234.9853515625	-251.28173828125
25	29	-57.5439453125	132.01904296875	232.91015625	-248.9013671875
25	30	-56.201171875	129.6142578125	236.73095703125	-252.30712890625
25	31	-54.79736328125	125.1953125	236.03515625	-247.4853515625
25	32	-53.41796875	121.826171875	236.87744140625	-250.32958984375
25	33	-57.94677734375	127.5146484375	236.4990234375	-247.20458984375
25	34	-49.7802734375	122.5341796875	232.33642578125	-252.24609375
25	35	-52.4658203125	125.4150390625	234.33837890625	-253.35693359375
25	36	-55.2001953125	122.802734375	237.92724609375	-249.658203125
25	37	-51.904296875	133.19091796875	233.984375	-246.2890625
25	38	-55.76171875	134.55810546875	233.740234375	-244.12841796875
25	39	-52.9052734375	129.28466796875	235.43701171875	-248.583984375
25	40	-56.84814453125	134.55810546875	233.447265625	-245.80078125
25	41	-56.0546875	132.9345703125	229.58984375	-246.66748046875
25	42	-55.126953125	131.75048828125	236.75537109375	-243.408203125
25	43	-59.82666015625	129.04052734375	235.02197265625	-243.17626953125
25	44	-52.9541015625	130.13916015625	231.6650390625	-242.95654296875
25	45	-55.1025390625	129.3701171875	234.47265625	-246.96044921875
25	46	-55.52978515625	134.130859375	231.92138671875	-247.00927734375
25	47	-56.60400390625	136.71875	233.45947265625	-240.19775390625
25	48	-51.7578125	125.93994140625	235.791015625	-245.166015625
25	49	-55.35888671875	128.22265625	236.19384765625	-243.4326171875
25	50	-50.59814453125	131.53076171875	232.14111328125	-245.166015625
25	51	-48.37646484375	130.28564453125	234.58251953125	-243.8720703125
25	52	-48.2177734375	128.857421875	234.619140625	-247.59521484375
25	53	-54.33349609375	134.4970703125	236.70654296875	-246.09375
25	54	-51.1962890625	129.052734375	237.01171875	-244.6533203125
25	55	-53.79638671875	130.8349609375	231.55517578125	-243.603515625
25	56	-53.45458984375	137.0849609375	235.24169921875	-241.064453125
25	57	-51.806640625	133.837890625	231.79931640625	-241.6748046875
25	58	-54.08935546875	131.97021484375	238.02490234375	-241.76025390625
25	59	-51.96533203125	130.48095703125	241.064453125	-238.48876953125
25	60	-55.52978515625	130.029296875	235.65673828125	-242.78564453125
25	61	-55.2490234375	134.9365234375	235.302734375	-238.330078125
25	62	-58.45947265625	134.8876953125	235.5224609375	-241.2109375
25	63	-52.6123046875	131.09130859375	237.04833984375	-242.98095703125
25	64	-52.62451171875	129.55322265625	241.6748046875	-238.39111328125
25	65	-57.080078125	135.82763671875	239.501953125	-239.09912109375
25	66	-53.466796875	136.2060546875	235.9619140625	-235.498046875

26	6	-74.98779296875	131.298828125	218.34716796875	-204.87060546875
26	7	-70.78857421875	131.11572265625	220.3857421875	-215.27099609375
26	8	-67.37060546875	135.26611328125	218.0419921875	-215.966796875
26	9	-63.7451171875	135.3759765625	223.84033203125	-225.01220703125
26	10	-64.55078125	134.55810546875	225.06103515625	-226.67236328125
26	11	-64.92919921875	132.9345703125	227.42919921875	-225.4638671875
26	12	-60.70556640625	129.833984375	223.14453125	-232.763671875
26	13	-67.1142578125	138.18359375	224.609375	-234.27734375
26	14	-66.88232421875	132.58056640625	227.8076171875	-239.14794921875
26	15	-62.95166015625	133.43505859375	228.2958984375	-237.5
