# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	129.549865722656	0.11
0.25	128.576965332031	0.08
0.5	127.034606933594	0.07
0.75	127.782897949219	0.08
1	128.637084960938	0.075
1.25	127.516174316406	0.095
1.5	128.097229003906	0.07
1.75	127.199096679688	0.06
2	127.062072753906	0.075
2.25	129.293823242188	0.09
2.5	128.270568847656	0.085
2.75	130.078430175781	0.12
3	127.587280273438	0.08
3.25	129.118957519531	0.085
3.5	129.2431640625	0.095
3.75	126.799011230469	0.06
4	127.089233398438	0.08
4.25	127.882385253906	0.075
4.5	128.272705078125	0.085
4.75	128.140563964844	0.095
5	129.4580078125	0.115
5.25	131.561889648438	0.155
5.5	133.504028320312	0.16
5.75	134.206237792969	0.17
6	132.944946289062	0.165
6.25	134.64111328125	0.17
6.5	135.991821289062	0.205
6.75	139.172668457031	0.255
7	137.186889648438	0.24
7.25	142.158813476562	0.305
7.5	141.028747558594	0.315
7.75	144.793701171875	0.345
8	150.336303710938	0.425
8.25	154.782409667969	0.465
8.5	152.415161132812	0.425
8.75	153.236389160156	0.46
9	151.673889160156	0.42
9.25	155.144348144531	0.475
9.5	152.203063964844	0.45
9.75	154.574890136719	0.455
10	150.332946777344	0.405
10.25	152.479858398438	0.455
10.5	148.772583007812	0.37
10.75	147.109069824219	0.355
11	152.822265625	0.425
11.25	145.516967773438	0.335
11.5	145.088195800781	0.34
11.75	145.563354492188	0.295
12	141.021728515625	0.255
12.25	137.529907226562	0.23
12.5	135.634460449219	0.17
12.75	135.474548339844	0.175
13	136.015625	0.145
13.25	130.244750976562	0.07
13.5	135.758056640625	0.14
13.75	129.632873535156	0.065
14	129.848022460938	0.075
14.25	128.866882324219	0.055
14.5	129.404602050781	0.095
14.75	127.787780761719	0.05
15	129.259643554688	0.065
15.25	127.958984375	0.06
15.5	131.245727539062	0.11
15.75	130.946044921875	0.105
16	130.53466796875	0.105
16.25	130.849304199219	0.105
16.5	129.149780273438	0.095
16.75	130.869140625	0.105
17	128.362731933594	0.085
17.25	129.132995605469	0.095
17.5	131.684265136719	0.115
17.75	132.628784179688	0.14
18	130.977172851562	0.1
18.25	129.758911132812	0.085
18.5	129.810791015625	0.11
18.75	128.585510253906	0.095
19	130.780334472656	0.11
19.25	134.563598632812	0.16
19.5	129.7705078125	0.09
19.75	135.563049316406	0.19
20	132.811279296875	0.14
20.25	132.089233398438	0.135
20.5	133.686828613281	0.185
20.75	140.343017578125	0.265
21	144.888610839844	0.335
21.25	142.288818359375	0.29
21.5	142.051086425781	0.285
21.75	152.431335449219	0.44
22	147.2021484375	0.355
22.25	144.496459960938	0.345
22.5	147.220153808594	0.375
22.75	154.254455566406	0.48
23	151.180114746094	0.43
23.25	150.494689941406	0.41
23.5	155.299987792969	0.465
23.75	151.2255859375	0.42
24	153.074035644531	0.445
24.25	148.577575683594	0.385
24.5	152.222290039062	0.45
24.75	144.666748046875	0.355
25	144.234313964844	0.325
25.25	146.668090820312	0.35
25.5	143.646850585938	0.305
25.75	139.27734375	0.25
26	140.490112304688	0.245
26.25	142.626647949219	0.28
26.5	139.43115234375	0.21
26.75	135.450134277344	0.175
27	134.443969726562	0.14
27.25	132.371520996094	0.115
27.5	132.116394042969	0.115
27.75	130.955505371094	0.11
28	130.718994140625	0.105
28.25	131.27685546875	0.115
28.5	131.935424804688	0.105
28.75	127.967834472656	0.07
29	127.601928710938	0.065
29.25	128.598327636719	0.075
29.5	129.139404296875	0.09
29.75	130.085754394531	0.105
30	128.603210449219	0.07
