# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.128333333333333
0.6	0.11
1.2	0.09
1.8	0.09
2.4	0.0966666666666667
3	0.09
3.6	0.09
4.2	0.0983333333333333
4.8	0.0916666666666667
5.4	0.0816666666666667
6	0.106666666666667
6.6	0.101666666666667
7.2	0.105
7.8	0.095
8.4	0.103333333333333
9	0.0933333333333333
9.6	0.103333333333333
10.2	0.101666666666667
10.8	0.123333333333333
11.4	0.121666666666667
12	0.166666666666667
12.6	0.185
13.2	0.208333333333333
13.8	0.281666666666667
14.4	0.325
15	0.38
15.6	0.478333333333333
16.2	0.553333333333333
16.8	0.596666666666667
17.4	0.588333333333333
18	0.646666666666667
18.6	0.728333333333333
19.2	0.758333333333333
19.8	0.756666666666667
20.4	0.778333333333333
21	0.818333333333333
21.6	0.785
22.2	0.728333333333333
22.8	0.713333333333333
23.4	0.665
24	0.59
24.6	0.516666666666667
25.2	0.518333333333333
25.8	0.435
26.4	0.415
27	0.318333333333333
27.6	0.28
28.2	0.185
28.8	0.161666666666667
29.4	0.146666666666667
30	0.121666666666667
30.6	0.103333333333333
31.2	0.0933333333333333
31.8	0.101666666666667
32.4	0.0933333333333333
33	0.103333333333333
33.6	0.0916666666666667
34.2	0.09
34.8	0.1
35.4	0.08
36	0.108333333333333
36.6	0.0983333333333333
37.2	0.106666666666667
37.8	0.105
38.4	0.08
39	0.095
39.6	0.09
40.2	0.0866666666666667
40.8	0.101666666666667
41.4	0.165
42	0.155
42.6	0.24
43.2	0.241666666666667
43.8	0.323333333333333
44.4	0.385
45	0.413333333333333
45.6	0.47
46.2	0.558333333333333
46.8	0.598333333333333
47.4	0.695
48	0.693333333333333
48.6	0.758333333333333
49.2	0.768333333333333
49.8	0.763333333333333
50.4	0.796666666666667
51	0.755
51.6	0.743333333333333
52.2	0.741666666666667
52.8	0.711666666666667
53.4	0.641666666666667
54	0.585
54.6	0.531666666666667
55.2	0.416666666666667
55.8	0.365
56.4	0.351666666666667
57	0.303333333333333
57.6	0.246666666666667
58.2	0.186666666666667
58.8	0.195
59.4	0.156666666666667
60	0.0933333333333333
