# vP3_Q2Q3_AC_set	waittime_set	su_S_North
# "vP3_Q2Q3_AC"	"waittime"	"su_S_North"
# 21	61
39.5	19.5	0.895
39.5	21	0.755
39.5	22.5	0.57
39.5	24	0.24
39.5	25.5	0.22
39.5	27	0.37
39.5	28.5	0.675
39.5	30	0.87
39.5	31.5	0.875
39.5	33	0.59
39.5	34.5	0.325
39.5	36	0.14
39.5	37.5	0.29
39.5	39	0.44
39.5	40.5	0.77
39.5	42	0.9
39.5	43.5	0.86
39.5	45	0.585
39.5	46.5	0.285
39.5	48	0.165
39.5	49.5	0.215
39.5	51	0.58
39.5	52.5	0.76
39.5	54	0.885
39.5	55.5	0.735
39.5	57	0.405
39.5	58.5	0.145
39.5	60	0.275
39.5	61.5	0.41
39.5	63	0.62
39.5	64.5	0.81
39.5	66	0.805
39.5	67.5	0.605
39.5	69	0.355
39.5	70.5	0.155
39.5	72	0.29
39.5	73.5	0.49
39.5	75	0.77
39.5	76.5	0.88
39.5	78	0.765
39.5	79.5	0.535
39.5	81	0.205
39.5	82.5	0.165
39.5	84	0.335
39.5	85.5	0.49
39.5	87	0.73
39.5	88.5	0.8
39.5	90	0.76

39	0	0.455
39	1.5	0.255
39	3	0.19
39	4.5	0.4
39	6	0.66
39	7.5	0.84
39	9	0.82
39	10.5	0.64
39	12	0.415
39	13.5	0.205
39	15	0.19
39	16.5	0.465
39	18	0.75
39	19.5	0.895
39	21	0.795
39	22.5	0.59
39	24	0.305
39	25.5	0.125
39	27	0.26
39	28.5	0.485
39	30	0.77
39	31.5	0.845
39	33	0.83
39	34.5	0.565
39	36	0.225
39	37.5	0.125
39	39	0.41
39	40.5	0.68
39	42	0.8
39	43.5	0.855
39	45	0.74
39	46.5	0.38
39	48	0.185
39	49.5	0.245
39	51	0.38
39	52.5	0.66
39	54	0.88
39	55.5	0.81
39	57	0.7
39	58.5	0.37
39	60	0.23
39	61.5	0.21
39	63	0.49
39	64.5	0.695
39	66	0.835
39	67.5	0.835
39	69	0.555
39	70.5	0.28
39	72	0.175
39	73.5	0.34
39	75	0.5
39	76.5	0.84
39	78	0.865
39	79.5	0.78
39	81	0.465
39	82.5	0.225
39	84	0.145
39	85.5	0.32
39	87	0.58
39	88.5	0.75
39	90	0.81

38.5	0	0.55
38.5	1.5	0.285
38.5	3	0.125
38.5	4.5	0.32
38.5	6	0.545
38.5	7.5	0.8
38.5	9	0.925
38.5	10.5	0.725
38.5	12	0.455
38.5	13.5	0.175
38.5	15	0.16
38.5	16.5	0.36
38.5	18	0.62
38.5	19.5	0.82
38.5	21	0.89
38.5	22.5	0.745
38.5	24	0.43
38.5	25.5	0.17
38.5	27	0.21
38.5	28.5	0.455
38.5	30	0.665
38.5	31.5	0.825
38.5	33	0.875
38.5	34.5	0.64
38.5	36	0.325
38.5	37.5	0.2
38.5	39	0.19
38.5	40.5	0.44
38.5	42	0.71
38.5	43.5	0.855
38.5	45	0.875
38.5	46.5	0.525
38.5	48	0.27
38.5	49.5	0.19
38.5	51	0.215
38.5	52.5	0.435
38.5	54	0.62
38.5	55.5	0.815
38.5	57	0.865
38.5	58.5	0.66
38.5	60	0.295
38.5	61.5	0.155
38.5	63	0.22
38.5	64.5	0.48
38.5	66	0.665
38.5	67.5	0.845
38.5	69	0.825
38.5	70.5	0.675
38.5	72	0.405
38.5	73.5	0.205
38.5	75	0.295
38.5	76.5	0.515
38.5	78	0.745
38.5	79.5	0.83
38.5	81	0.745
38.5	82.5	0.52
38.5	84	0.265
38.5	85.5	0.235
38.5	87	0.25
38.5	88.5	0.525
38.5	90	0.695

38	0	0.695
38	1.5	0.46
38	3	0.225
38	4.5	0.16
38	6	0.38
38	7.5	0.775
38	9	0.9
38	10.5	0.83
38	12	0.535
38	13.5	0.305
38	15	0.16
38	16.5	0.3
38	18	0.5
38	19.5	0.75
38	21	0.855
38	22.5	0.825
38	24	0.68
38	25.5	0.37
38	27	0.125
38	28.5	0.2
38	30	0.37
38	31.5	0.655
38	33	0.85
38	34.5	0.82
38	36	0.625
38	37.5	0.345
38	39	0.18
38	40.5	0.195
38	42	0.42
38	43.5	0.715
38	45	0.8
38	46.5	0.865
38	48	0.545
38	49.5	0.435
38	51	0.26
38	52.5	0.22
38	54	0.44
38	55.5	0.635
38	57	0.88
38	58.5	0.83
38	60	0.745
38	61.5	0.4
38	63	0.24
38	64.5	0.165
38	66	0.285
38	67.5	0.7
38	69	0.84
38	70.5	0.77
38	72	0.74
38	73.5	0.415
38	75	0.225
38	76.5	0.18
38	78	0.465
38	79.5	0.645
38	81	0.835
38	82.5	0.825
38	84	0.65
38	85.5	0.455
38	87	0.195
38	88.5	0.19
38	90	0.25

37.5	0	0.74
37.5	1.5	0.48
37.5	3	0.28
37.5	4.5	0.21
37.5	6	0.345
37.5	7.5	0.575
37.5	9	0.87
37.5	10.5	0.875
37.5	12	0.745
37.5	13.5	0.5
37.5	15	0.315
37.5	16.5	0.17
37.5	18	0.235
37.5	19.5	0.505
37.5	21	0.7
37.5	22.5	0.9
37.5	24	0.87
37.5	25.5	0.72
37.5	27	0.415
37.5	28.5	0.195
37.5	30	0.255
37.5	31.5	0.315
37.5	33	0.57
37.5	34.5	0.695
37.5	36	0.835
37.5	37.5	0.715
37.5	39	0.405
37.5	40.5	0.26
37.5	42	0.12
37.5	43.5	0.38
37.5	45	0.4
37.5	46.5	0.675
37.5	48	0.855
37.5	49.5	0.745
37.5	51	0.625
37.5	52.5	0.505
37.5	54	0.245
37.5	55.5	0.17
37.5	57	0.24
37.5	58.5	0.615
37.5	60	0.74
37.5	61.5	0.78
37.5	63	0.665
37.5	64.5	0.48
37.5	66	0.235
37.5	67.5	0.22
37.5	69	0.24
37.5	70.5	0.525
37.5	72	0.655
37.5	73.5	0.74
37.5	75	0.735
37.5	76.5	0.595
37.5	78	0.33
37.5	79.5	0.275
37.5	81	0.225
37.5	82.5	0.565
37.5	84	0.63
37.5	85.5	0.725
37.5	87	0.805
37.5	88.5	0.75
37.5	90	0.53

37	0	0.8
37	1.5	0.625
37	3	0.42
37	4.5	0.19
37	6	0.18
37	7.5	0.365
37	9	0.575
37	10.5	0.805
37	12	0.895
37	13.5	0.72
37	15	0.615
37	16.5	0.405
37	18	0.305
37	19.5	0.155
37	21	0.43
37	22.5	0.645
37	24	0.75
37	25.5	0.825
37	27	0.81
37	28.5	0.605
37	30	0.23
37	31.5	0.215
37	33	0.24
37	34.5	0.43
37	36	0.675
37	37.5	0.84
37	39	0.85
37	40.5	0.735
37	42	0.49
37	43.5	0.25
37	45	0.175
37	46.5	0.255
37	48	0.44
37	49.5	0.68
37	51	0.78
37	52.5	0.795
37	54	0.79
37	55.5	0.61
37	57	0.25
37	58.5	0.265
37	60	0.265
37	61.5	0.43
37	63	0.635
37	64.5	0.77
37	66	0.82
37	67.5	0.675
37	69	0.43
37	70.5	0.285
37	72	0.225
37	73.5	0.44
37	75	0.425
37	76.5	0.77
37	78	0.75
37	79.5	0.74
37	81	0.655
37	82.5	0.515
37	84	0.305
37	85.5	0.255
37	87	0.26
37	88.5	0.545
37	90	0.67

36.5	0	0.845
36.5	1.5	0.885
36.5	3	0.635
36.5	4.5	0.505
36.5	6	0.26
36.5	7.5	0.19
36.5	9	0.37
36.5	10.5	0.455
36.5	12	0.745
36.5	13.5	0.825
36.5	15	0.785
36.5	16.5	0.695
36.5	18	0.565
36.5	19.5	0.345
36.5	21	0.225
36.5	22.5	0.375
36.5	24	0.49
36.5	25.5	0.685
36.5	27	0.87
36.5	28.5	0.87
36.5	30	0.76
36.5	31.5	0.525
36.5	33	0.335
36.5	34.5	0.22
36.5	36	0.13
36.5	37.5	0.36
36.5	39	0.65
36.5	40.5	0.72
36.5	42	0.855
36.5	43.5	0.755
36.5	45	0.65
36.5	46.5	0.375
36.5	48	0.29
36.5	49.5	0.26
36.5	51	0.22
36.5	52.5	0.43
36.5	54	0.67
36.5	55.5	0.805
36.5	57	0.825
36.5	58.5	0.795
36.5	60	0.72
36.5	61.5	0.605
36.5	63	0.26
36.5	64.5	0.2
36.5	66	0.345
36.5	67.5	0.395
36.5	69	0.8
36.5	70.5	0.82
36.5	72	0.72
36.5	73.5	0.66
36.5	75	0.45
36.5	76.5	0.27
36.5	78	0.195
36.5	79.5	0.29
36.5	81	0.365
36.5	82.5	0.46
36.5	84	0.755
36.5	85.5	0.815
36.5	87	0.83
36.5	88.5	0.64
36.5	90	0.38

36	0	0.8
36	1.5	0.885
36	3	0.825
36	4.5	0.705
36	6	0.6
36	7.5	0.225
36	9	0.145
36	10.5	0.225
36	12	0.38
36	13.5	0.61
36	15	0.75
36	16.5	0.89
36	18	0.77
36	19.5	0.645
36	21	0.47
36	22.5	0.265
36	24	0.175
36	25.5	0.27
36	27	0.47
36	28.5	0.64
36	30	0.86
36	31.5	0.905
36	33	0.775
36	34.5	0.575
36	36	0.345
36	37.5	0.19
36	39	0.235
36	40.5	0.41
36	42	0.63
36	43.5	0.7
36	45	0.86
36	46.5	0.835
36	48	0.715
36	49.5	0.47
36	51	0.285
36	52.5	0.22
36	54	0.19
36	55.5	0.355
36	57	0.54
36	58.5	0.77
36	60	0.92
36	61.5	0.825
36	63	0.67
36	64.5	0.405
36	66	0.335
36	67.5	0.125
36	69	0.17
36	70.5	0.37
36	72	0.645
36	73.5	0.81
36	75	0.835
36	76.5	0.74
36	78	0.63
36	79.5	0.46
36	81	0.365
36	82.5	0.17
36	84	0.23
36	85.5	0.405
36	87	0.55
36	88.5	0.835
36	90	0.87

35.5	0	0.54
35.5	1.5	0.79
35.5	3	0.85
35.5	4.5	0.895
35.5	6	0.685
35.5	7.5	0.455
35.5	9	0.235
35.5	10.5	0.225
35.5	12	0.205
35.5	13.5	0.32
35.5	15	0.66
35.5	16.5	0.8
35.5	18	0.825
35.5	19.5	0.825
35.5	21	0.605
35.5	22.5	0.375
35.5	24	0.255
35.5	25.5	0.125
35.5	27	0.24
35.5	28.5	0.44
35.5	30	0.695
35.5	31.5	0.835
35.5	33	0.845
35.5	34.5	0.715
35.5	36	0.675
35.5	37.5	0.35
35.5	39	0.265
35.5	40.5	0.185
35.5	42	0.295
35.5	43.5	0.57
35.5	45	0.65
35.5	46.5	0.865
35.5	48	0.83
35.5	49.5	0.78
35.5	51	0.55
35.5	52.5	0.31
35.5	54	0.185
35.5	55.5	0.205
35.5	57	0.325
35.5	58.5	0.49
35.5	60	0.705
35.5	61.5	0.9
35.5	63	0.835
35.5	64.5	0.645
35.5	66	0.46
35.5	67.5	0.205
35.5	69	0.15
35.5	70.5	0.24
35.5	72	0.38
35.5	73.5	0.575
35.5	75	0.78
35.5	76.5	0.85
35.5	78	0.835
35.5	79.5	0.645
35.5	81	0.495
35.5	82.5	0.175
35.5	84	0.15
35.5	85.5	0.2
35.5	87	0.43
35.5	88.5	0.69
35.5	90	0.74

35	0	0.365
35	1.5	0.655
35	3	0.755
35	4.5	0.865
35	6	0.83
35	7.5	0.71
35	9	0.46
35	10.5	0.225
35	12	0.155
35	13.5	0.26
35	15	0.465
35	16.5	0.635
35	18	0.75
35	19.5	0.925
35	21	0.775
35	22.5	0.625
35	24	0.35
35	25.5	0.195
35	27	0.165
35	28.5	0.235
35	30	0.47
35	31.5	0.685
35	33	0.755
35	34.5	0.865
35	36	0.795
35	37.5	0.545
35	39	0.33
35	40.5	0.18
35	42	0.17
35	43.5	0.355
35	45	0.55
35	46.5	0.765
35	48	0.845
35	49.5	0.875
35	51	0.725
35	52.5	0.56
35	54	0.27
35	55.5	0.195
35	57	0.235
35	58.5	0.5
35	60	0.645
35	61.5	0.83
35	63	0.89
35	64.5	0.82
35	66	0.52
35	67.5	0.39
35	69	0.205
35	70.5	0.19
35	72	0.285
35	73.5	0.595
35	75	0.755
35	76.5	0.825
35	78	0.835
35	79.5	0.67
35	81	0.515
35	82.5	0.185
35	84	0.135
35	85.5	0.175
35	87	0.34
35	88.5	0.64
35	90	0.83

34.5	0	0.24
34.5	1.5	0.4
34.5	3	0.48
34.5	4.5	0.79
34.5	6	0.85
34.5	7.5	0.81
34.5	9	0.58
34.5	10.5	0.375
34.5	12	0.205
34.5	13.5	0.175
34.5	15	0.35
34.5	16.5	0.54
34.5	18	0.735
34.5	19.5	0.79
34.5	21	0.84
34.5	22.5	0.705
34.5	24	0.495
34.5	25.5	0.32
34.5	27	0.19
34.5	28.5	0.245
34.5	30	0.395
34.5	31.5	0.665
34.5	33	0.815
34.5	34.5	0.835
34.5	36	0.815
34.5	37.5	0.545
34.5	39	0.35
34.5	40.5	0.235
34.5	42	0.115
34.5	43.5	0.295
34.5	45	0.58
34.5	46.5	0.735
34.5	48	0.875
34.5	49.5	0.875
34.5	51	0.685
34.5	52.5	0.48
34.5	54	0.245
34.5	55.5	0.095
34.5	57	0.165
34.5	58.5	0.425
34.5	60	0.645
34.5	61.5	0.795
34.5	63	0.845
34.5	64.5	0.78
34.5	66	0.635
34.5	67.5	0.33
34.5	69	0.145
34.5	70.5	0.19
34.5	72	0.365
34.5	73.5	0.585
34.5	75	0.74
34.5	76.5	0.84
34.5	78	0.79
34.5	79.5	0.65
34.5	81	0.495
34.5	82.5	0.17
34.5	84	0.09
34.5	85.5	0.275
34.5	87	0.455
34.5	88.5	0.675
34.5	90	0.8

34	0	0.155
34	1.5	0.3
34	3	0.53
34	4.5	0.71
34	6	0.865
34	7.5	0.8
34	9	0.71
34	10.5	0.445
34	12	0.255
34	13.5	0.165
34	15	0.215
34	16.5	0.445
34	18	0.57
34	19.5	0.805
34	21	0.885
34	22.5	0.835
34	24	0.61
34	25.5	0.42
34	27	0.185
34	28.5	0.135
34	30	0.28
34	31.5	0.475
34	33	0.72
34	34.5	0.83
34	36	0.84
34	37.5	0.645
34	39	0.505
34	40.5	0.195
34	42	0.175
34	43.5	0.255
34	45	0.52
34	46.5	0.615
34	48	0.835
34	49.5	0.84
34	51	0.775
34	52.5	0.615
34	54	0.34
34	55.5	0.195
34	57	0.195
34	58.5	0.335
34	60	0.555
34	61.5	0.78
34	63	0.86
34	64.5	0.83
34	66	0.68
34	67.5	0.395
34	69	0.23
34	70.5	0.105
34	72	0.325
34	73.5	0.51
34	75	0.715
34	76.5	0.87
34	78	0.88
34	79.5	0.755
34	81	0.515
34	82.5	0.165
34	84	0.155
34	85.5	0.245
34	87	0.47
34	88.5	0.635
