# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	131.54541015625	0.1
0.25	132.586975097656	0.11
0.5	130.80810546875	0.085
0.75	136.614074707031	0.135
1	136.341857910156	0.13
1.25	135.506286621094	0.135
1.5	135.420532226562	0.16
1.75	134.742431640625	0.135
2	135.670471191406	0.13
2.25	133.753967285156	0.12
2.5	136.849060058594	0.135
2.75	132.273254394531	0.08
3	135.094604492188	0.11
3.25	134.990539550781	0.135
3.5	131.719055175781	0.12
3.75	133.377075195312	0.11
4	135.697631835938	0.125
4.25	133.253784179688	0.095
4.5	132.682800292969	0.1
4.75	137.540588378906	0.14
5	144.518127441406	0.27
5.25	143.103637695312	0.25
5.5	142.799682617188	0.285
5.75	145.132141113281	0.315
6	148.316345214844	0.355
6.25	157.138977050781	0.5
6.5	159.327697753906	0.54
6.75	163.003234863281	0.575
7	162.26318359375	0.57
7.25	161.924743652344	0.575
7.5	168.056335449219	0.665
7.75	168.348083496094	0.66
8	166.980285644531	0.67
8.25	167.325439453125	0.645
8.5	170.150756835938	0.7
8.75	171.720275878906	0.71
9	171.314697265625	0.71
9.25	164.261169433594	0.605
9.5	165.299377441406	0.61
9.75	158.664245605469	0.525
10	157.778015136719	0.485
10.25	157.622680664062	0.485
10.5	149.867248535156	0.375
10.75	150.188293457031	0.37
11	150.63720703125	0.395
11.25	146.260375976562	0.28
11.5	139.524536132812	0.22
11.75	140.591125488281	0.22
12	132.996520996094	0.12
12.25	134.783020019531	0.13
12.5	133.363952636719	0.095
12.75	133.39599609375	0.12
13	131.439819335938	0.075
13.25	132.680358886719	0.095
13.5	130.147399902344	0.065
13.75	132.323913574219	0.095
14	133.663024902344	0.1
14.25	132.24609375	0.065
14.5	135.431213378906	0.125
14.75	137.175598144531	0.15
15	136.435241699219	0.165
15.25	129.997253417969	0.07
15.5	136.901550292969	0.155
15.75	134.323425292969	0.1
16	138.933410644531	0.145
16.25	135.805969238281	0.15
16.5	132.491760253906	0.085
16.75	134.862670898438	0.14
17	133.873291015625	0.105
17.25	130.930786132812	0.065
17.5	133.130798339844	0.075
17.75	132.174377441406	0.07
18	133.808288574219	0.105
18.25	133.661499023438	0.1
18.5	134.218444824219	0.1
18.75	137.024841308594	0.15
19	140.015563964844	0.18
19.25	140.87890625	0.22
19.5	144.064636230469	0.265
19.75	142.9931640625	0.265
20	144.728393554688	0.295
20.25	147.135314941406	0.33
20.5	156.977844238281	0.475
20.75	156.6259765625	0.475
21	163.898315429688	0.6
21.25	164.328918457031	0.61
21.5	162.575073242188	0.565
21.75	168.330688476562	0.68
22	167.554626464844	0.67
22.25	166.569213867188	0.655
22.5	171.568603515625	0.725
22.75	168.936767578125	0.68
23	165.643310546875	0.64
23.25	162.821960449219	0.59
23.5	164.726867675781	0.605
23.75	164.617309570312	0.62
24	158.416137695312	0.52
24.25	158.612365722656	0.54
24.5	152.486877441406	0.425
24.75	151.279907226562	0.405
25	149.548034667969	0.37
25.25	146.813354492188	0.32
25.5	140.972900390625	0.23
25.75	140.681457519531	0.225
26	138.689270019531	0.17
26.25	136.03271484375	0.13
26.5	133.818969726562	0.1
26.75	134.639892578125	0.115
27	132.63671875	0.095
27.25	134.052429199219	0.1
27.5	130.347290039062	0.08
27.75	130.39306640625	0.065
28	132.753601074219	0.09
28.25	136.602783203125	0.15
28.5	134.879760742188	0.125
28.75	133.887023925781	0.115
29	131.839904785156	0.095
29.25	134.678955078125	0.12
29.5	134.283752441406	0.135
29.75	132.124328613281	0.135
30	134.225769042969	0.15
