# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.1225	0.53	0.19625	0.15125	0.3475	0.68125
2400	0.115	0.55125	0.18	0.15375	0.33375	0.705
4800	0.1375	0.50125	0.19	0.17125	0.36125	0.6725
7200	0.1525	0.53625	0.1675	0.14375	0.31125	0.68
9600	0.16375	0.51375	0.2	0.1225	0.3225	0.63625
12000	0.1725	0.5225	0.16625	0.13875	0.305	0.66125
14400	0.22375	0.48125	0.1625	0.1325	0.295	0.61375
16800	0.24125	0.4925	0.1625	0.10375	0.26625	0.59625
19200	0.27125	0.44125	0.175	0.1125	0.2875	0.55375
21600	0.2775	0.435	0.16	0.1275	0.2875	0.5625
24000	0.30125	0.4175	0.15375	0.1275	0.28125	0.545
26400	0.3075	0.3975	0.17375	0.12125	0.295	0.51875
28800	0.3225	0.39	0.1575	0.13	0.2875	0.52
31200	0.36	0.385	0.14625	0.10875	0.255	0.49375
33600	0.33	0.42	0.15375	0.09625	0.25	0.51625
36000	0.34625	0.37	0.17125	0.1125	0.28375	0.4825
38400	0.35625	0.385	0.1375	0.12125	0.25875	0.50625
40800	0.36875	0.40875	0.125	0.0975	0.2225	0.50625
43200	0.3675	0.3725	0.15125	0.10875	0.26	0.48125
45600	0.33	0.35875	0.1825	0.12875	0.31125	0.4875
48000	0.3425	0.3775	0.16875	0.11125	0.28	0.48875
50400	0.36125	0.3575	0.15625	0.125	0.28125	0.4825
52800	0.3525	0.37125	0.16375	0.1125	0.27625	0.48375
55200	0.34	0.3725	0.17125	0.11625	0.2875	0.48875
57600	0.36875	0.3675	0.1425	0.12125	0.26375	0.48875
60000	0.37125	0.3275	0.175	0.12625	0.30125	0.45375
62400	0.40125	0.32	0.165	0.11375	0.27875	0.43375
64800	0.37625	0.33125	0.175	0.1175	0.2925	0.44875
67200	0.39625	0.34375	0.16	0.1	0.26	0.44375
69600	0.40875	0.33625	0.17	0.085	0.255	0.42125
72000	0.37625	0.3675	0.14125	0.115	0.25625	0.4825
74400	0.38	0.32	0.175	0.125	0.3	0.445
76800	0.40375	0.3575	0.1425	0.09625	0.23875	0.45375
79200	0.39625	0.325	0.15875	0.12	0.27875	0.445
81600	0.4025	0.31125	0.16375	0.1225	0.28625	0.43375
84000	0.405	0.325	0.17	0.1	0.27	0.425
86400	0.43	0.3075	0.1725	0.09	0.2625	0.3975
88800	0.44625	0.31875	0.13625	0.09875	0.235	0.4175
91200	0.40375	0.33875	0.1525	0.105	0.2575	0.44375
93600	0.37875	0.34625	0.16875	0.10625	0.275	0.4525
96000	0.40625	0.31	0.17625	0.1075	0.28375	0.4175
98400	0.40875	0.33625	0.1475	0.1075	0.255	0.44375
100800	0.43125	0.305	0.15875	0.105	0.26375	0.41
103200	0.4125	0.33	0.1375	0.12	0.2575	0.45
105600	0.4225	0.29375	0.15125	0.1325	0.28375	0.42625
108000	0.425	0.27625	0.1825	0.11625	0.29875	0.3925
110400	0.42625	0.33	0.14625	0.0975	0.24375	0.4275
112800	0.395	0.31375	0.155	0.13625	0.29125	0.45
115200	0.415	0.3075	0.15125	0.12625	0.2775	0.43375
117600	0.3975	0.31625	0.16875	0.1175	0.28625	0.43375
120000	0.45	0.305	0.13125	0.11375	0.245	0.41875
