# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 39
0	0.68
12.7	0.376666666666667
25.4	0.21
38.1	0.27
50.8	0.466666666666667
63.5	0.746666666666667
76.2	0.853333333333333
88.9	0.77
101.6	0.613333333333333
114.3	0.363333333333333
127	0.18
139.7	0.303333333333333
152.4	0.563333333333333
165.1	0.646666666666667
177.8	0.856666666666667
190.5	0.823333333333333
203.2	0.606666666666667
215.9	0.34
228.6	0.203333333333333
241.3	0.21
254	0.433333333333333
266.7	0.713333333333333
279.4	0.803333333333333
292.1	0.826666666666667
304.8	0.806666666666667
317.5	0.546666666666667
330.2	0.356666666666667
342.9	0.253333333333333
355.6	0.276666666666667
368.3	0.476666666666667
381	0.553333333333333
393.7	0.766666666666667
406.4	0.736666666666667
419.1	0.626666666666667
431.8	0.41
444.5	0.246666666666667
457.2	0.403333333333333
469.9	0.45
482.6	0.51
