# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 52
0	0.56
37.9	0.62
75.8	0.776666666666667
113.7	0.826666666666667
151.6	0.876666666666667
189.5	0.823333333333333
227.4	0.623333333333333
265.3	0.483333333333333
303.2	0.366666666666667
341.1	0.26
379	0.243333333333333
416.9	0.216666666666667
454.8	0.293333333333333
492.7	0.43
530.6	0.55
568.5	0.706666666666667
606.4	0.81
644.3	0.866666666666667
682.2	0.836666666666667
720.1	0.716666666666667
758	0.61
795.9	0.486666666666667
833.8	0.303333333333333
871.7	0.23
909.6	0.243333333333333
947.5	0.356666666666667
985.4	0.36
1023.3	0.433333333333333
1061.2	0.606666666666667
1099.1	0.763333333333333
1137	0.796666666666667
1174.9	0.803333333333333
1212.8	0.786666666666667
1250.7	0.653333333333333
1288.6	0.61
1326.5	0.393333333333333
1364.4	0.38
1402.3	0.323333333333333
1440.2	0.38
1478.1	0.363333333333333
1516	0.473333333333333
1553.9	0.563333333333333
1591.8	0.66
1629.7	0.66
1667.6	0.753333333333333
1705.5	0.743333333333333
1743.4	0.743333333333333
1781.3	0.66
1819.2	0.456666666666667
1857.1	0.43
1895	0.426666666666667
1932.9	0.3
