# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 51
0	0.6
160	0.876666666666667
320	0.893333333333333
480	0.893333333333333
640	0.886666666666667
800	0.9
960	0.87
1120	0.843333333333333
1280	0.873333333333333
1440	0.816666666666667
1600	0.81
1760	0.833333333333333
1920	0.756666666666667
2080	0.786666666666667
2240	0.696666666666667
2400	0.763333333333333
2560	0.733333333333333
2720	0.66
2880	0.65
3040	0.62
3200	0.606666666666667
3360	0.63
3520	0.533333333333333
3680	0.6
3840	0.52
4000	0.56
4160	0.57
4320	0.62
4480	0.546666666666667
4640	0.526666666666667
4800	0.57
4960	0.66
5120	0.603333333333333
5280	0.603333333333333
5440	0.556666666666667
5600	0.566666666666667
5760	0.616666666666667
5920	0.596666666666667
6080	0.593333333333333
6240	0.596666666666667
6400	0.563333333333333
6560	0.64
6720	0.61
6880	0.606666666666667
7040	0.583333333333333
7200	0.656666666666667
7360	0.626666666666667
7520	0.55
7680	0.596666666666667
7840	0.59
8000	0.64
