# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	153.356018066406	0.4
0.25	158.711547851562	0.48
0.5	161.97021484375	0.53
0.75	166.315002441406	0.625
1	176.597900390625	0.79
1.25	172.911071777344	0.745
1.5	175.999145507812	0.75
1.75	176.461791992188	0.805
2	178.9599609375	0.825
2.25	176.015625	0.78
2.5	176.339111328125	0.79
2.75	167.731628417969	0.67
3	169.135437011719	0.68
3.25	160.402221679688	0.555
3.5	157.486267089844	0.495
3.75	152.765808105469	0.41
4	148.193054199219	0.325
4.25	143.122863769531	0.24
4.5	141.341857910156	0.18
4.75	134.220581054688	0.13
5	133.118591308594	0.095
5.25	132.856140136719	0.11
5.5	131.796569824219	0.08
5.75	134.360656738281	0.1
6	136.585693359375	0.135
6.25	138.695068359375	0.205
6.5	142.6171875	0.255
6.75	147.35107421875	0.335
7	158.799133300781	0.495
7.25	158.633422851562	0.515
7.5	161.513977050781	0.57
7.75	170.68603515625	0.69
8	173.040466308594	0.77
8.25	175.191955566406	0.775
8.5	176.002197265625	0.79
8.75	180.020141601562	0.83
9	178.266296386719	0.82
9.25	178.273620605469	0.825
9.5	174.454650878906	0.775
9.75	172.768249511719	0.735
10	169.68017578125	0.7
10.25	160.046691894531	0.52
10.5	158.709411621094	0.475
10.75	150.213623046875	0.36
11	154.1796875	0.395
11.25	143.736877441406	0.25
11.5	140.6982421875	0.205
11.75	132.750549316406	0.11
12	135.44677734375	0.145
12.25	133.956604003906	0.1
12.5	135.390930175781	0.09
12.75	137.38525390625	0.13
13	135.919189453125	0.12
13.25	141.751708984375	0.225
13.5	142.889709472656	0.25
13.75	142.229919433594	0.25
14	152.226867675781	0.42
14.25	155.84716796875	0.45
14.5	159.947814941406	0.535
14.75	168.355102539062	0.64
15	172.524108886719	0.74
15.25	172.014465332031	0.725
15.5	175.997619628906	0.795
15.75	175.210571289062	0.79
16	175.630493164062	0.77
16.25	179.161376953125	0.82
16.5	176.729431152344	0.8
16.75	176.02783203125	0.76
17	167.054138183594	0.635
17.25	165.054626464844	0.605
17.5	158.882446289062	0.51
17.75	153.230285644531	0.41
18	145.707092285156	0.305
18.25	144.781799316406	0.255
18.5	139.833374023438	0.19
18.75	139.520568847656	0.17
19	133.114013671875	0.095
19.25	131.050720214844	0.075
19.5	135.43212890625	0.12
19.75	131.666259765625	0.055
20	133.7158203125	0.1
20.25	135.245361328125	0.115
20.5	143.939514160156	0.25
20.75	149.556884765625	0.33
21	151.842041015625	0.405
21.25	156.403198242188	0.475
21.5	163.15185546875	0.54
21.75	166.84326171875	0.615
22	172.063598632812	0.685
22.25	170.955505371094	0.72
22.5	171.183166503906	0.705
22.75	176.444396972656	0.815
23	178.518371582031	0.86
23.25	176.983642578125	0.815
23.5	177.589111328125	0.805
23.75	173.626098632812	0.75
24	169.971618652344	0.695
24.25	167.933959960938	0.675
24.5	160.747680664062	0.535
24.75	157.76611328125	0.475
25	151.638488769531	0.385
25.25	146.131591796875	0.295
25.5	139.41650390625	0.205
25.75	139.688415527344	0.19
26	135.948791503906	0.115
26.25	134.739074707031	0.085
26.5	133.761291503906	0.075
26.75	135.176696777344	0.085
27	132.849426269531	0.065
27.25	137.457275390625	0.15
27.5	136.935119628906	0.17
27.75	144.900817871094	0.275
28	149.917297363281	0.375
28.25	155.032958984375	0.455
28.5	157.178649902344	0.495
28.75	161.959533691406	0.575
29	165.336303710938	0.65
29.25	171.251525878906	0.735
29.5	175.8203125	0.75
29.75	175.464782714844	0.775
30	177.305297851562	0.815
