# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.15875	0.49125	0.18875	0.16125	0.35	0.6525
300	0.185	0.51125	0.145	0.15875	0.30375	0.67
600	0.145	0.51125	0.19	0.15375	0.34375	0.665
900	0.14125	0.51625	0.185	0.1575	0.3425	0.67375
1200	0.14375	0.5325	0.1725	0.15125	0.32375	0.68375
1500	0.1225	0.54	0.18375	0.15375	0.3375	0.69375
1800	0.12	0.56125	0.16	0.15875	0.31875	0.72
2100	0.12	0.53	0.195	0.155	0.35	0.685
2400	0.13625	0.54	0.18125	0.1425	0.32375	0.6825
2700	0.14625	0.52875	0.18125	0.14375	0.325	0.6725
3000	0.15625	0.5025	0.17625	0.165	0.34125	0.6675
3300	0.12	0.49625	0.18625	0.1975	0.38375	0.69375
3600	0.13375	0.4975	0.21	0.15875	0.36875	0.65625
3900	0.14375	0.52375	0.1725	0.16	0.3325	0.68375
4200	0.1575	0.5175	0.17625	0.14875	0.325	0.66625
4500	0.155	0.515	0.18625	0.14375	0.33	0.65875
4800	0.18125	0.46	0.19875	0.16	0.35875	0.62
5100	0.18	0.50875	0.15625	0.155	0.31125	0.66375
5400	0.21	0.46375	0.1825	0.14375	0.32625	0.6075
5700	0.265	0.4125	0.19	0.1325	0.3225	0.545
6000	0.3125	0.36	0.1975	0.13	0.3275	0.49
6300	0.32625	0.3625	0.1875	0.12375	0.31125	0.48625
6600	0.335	0.37	0.17	0.125	0.295	0.495
6900	0.37375	0.355	0.1475	0.12375	0.27125	0.47875
7200	0.3925	0.33125	0.1675	0.10875	0.27625	0.44
7500	0.3675	0.3675	0.1625	0.1025	0.265	0.47
7800	0.385	0.33	0.18125	0.10375	0.285	0.43375
8100	0.3675	0.3375	0.18625	0.10875	0.295	0.44625
8400	0.39625	0.35	0.15125	0.1025	0.25375	0.4525
8700	0.43625	0.31125	0.165	0.0875	0.2525	0.39875
9000	0.45	0.3125	0.15375	0.08375	0.2375	0.39625
9300	0.43625	0.31	0.16125	0.0925	0.25375	0.4025
9600	0.4225	0.32625	0.1525	0.09875	0.25125	0.425
9900	0.3825	0.35125	0.1475	0.11875	0.26625	0.47
10200	0.3975	0.31125	0.1575	0.13375	0.29125	0.445
10500	0.37625	0.32	0.175	0.12875	0.30375	0.44875
10800	0.38625	0.32375	0.17125	0.11875	0.29	0.4425
11100	0.41875	0.31	0.16	0.11125	0.27125	0.42125
11400	0.38125	0.335	0.17375	0.11	0.28375	0.445
11700	0.41	0.3375	0.16	0.0925	0.2525	0.43
12000	0.395	0.35	0.14625	0.10875	0.255	0.45875
12300	0.4175	0.3175	0.16625	0.09875	0.265	0.41625
12600	0.3825	0.35125	0.16375	0.1025	0.26625	0.45375
12900	0.41375	0.3425	0.14	0.10375	0.24375	0.44625
13200	0.43875	0.305	0.16	0.09625	0.25625	0.40125
13500	0.455	0.2925	0.155	0.0975	0.2525	0.39
13800	0.4025	0.3175	0.16625	0.11375	0.28	0.43125
14100	0.4175	0.3375	0.1425	0.1025	0.245	0.44
14400	0.4325	0.305	0.16	0.1025	0.2625	0.4075
14700	0.4	0.29625	0.15625	0.1475	0.30375	0.44375
15000	0.4075	0.3125	0.17375	0.10625	0.28	0.41875
