# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	127.390441894531	0.07
0.25	127.572326660156	0.085
0.5	128.009033203125	0.065
0.75	130.336608886719	0.09
1	129.023742675781	0.09
1.25	128.686828613281	0.105
1.5	129.0185546875	0.085
1.75	126.775512695312	0.075
2	128.339538574219	0.065
2.25	128.705444335938	0.09
2.5	128.261413574219	0.085
2.75	125.905151367188	0.055
3	127.158203125	0.065
3.25	127.823181152344	0.09
3.5	130.141296386719	0.09
3.75	130.276794433594	0.075
4	131.427307128906	0.12
4.25	131.114807128906	0.12
4.5	129.015197753906	0.075
4.75	131.950378417969	0.125
5	130.014953613281	0.08
5.25	132.021484375	0.13
5.5	129.993896484375	0.07
5.75	129.309387207031	0.09
6	132.156982421875	0.125
6.25	126.3720703125	0.06
6.5	129.916381835938	0.12
6.75	129.776000976562	0.13
7	131.397094726562	0.12
7.25	133.229064941406	0.135
7.5	133.226623535156	0.115
7.75	131.046752929688	0.11
8	133.480529785156	0.145
8.25	132.203674316406	0.125
8.5	132.649230957031	0.13
8.75	133.80859375	0.15
9	132.834777832031	0.145
9.25	131.263427734375	0.115
9.5	133.449096679688	0.175
9.75	131.637268066406	0.155
10	134.632873535156	0.185
10.25	132.89794921875	0.15
10.5	136.138916015625	0.21
10.75	127.290954589844	0.05
11	130.18310546875	0.115
11.25	131.732177734375	0.135
11.5	133.846130371094	0.15
11.75	132.253723144531	0.135
12	131.322326660156	0.14
12.25	132.134094238281	0.12
12.5	130.436706542969	0.115
12.75	131.81884765625	0.095
13	130.620422363281	0.105
13.25	132.090148925781	0.13
13.5	131.361694335938	0.125
13.75	130.879516601562	0.11
14	129.641418457031	0.075
14.25	130.520935058594	0.115
14.5	132.483825683594	0.13
14.75	131.031799316406	0.12
15	128.166198730469	0.075
15.25	130.392761230469	0.105
15.5	128.136291503906	0.08
15.75	130.283203125	0.08
16	126.925659179688	0.055
16.25	128.766784667969	0.095
16.5	128.974914550781	0.075
16.75	129.420776367188	0.09
17	130.282592773438	0.09
17.25	129.491577148438	0.07
17.5	130.364685058594	0.09
17.75	131.058959960938	0.095
18	129.948425292969	0.1
18.25	129.232788085938	0.075
18.5	126.165161132812	0.03
18.75	129.835205078125	0.1
19	128.695678710938	0.09
19.25	132.557983398438	0.135
19.5	131.227722167969	0.105
19.75	129.054870605469	0.09
20	130.917053222656	0.12
20.25	132.245483398438	0.135
20.5	132.697143554688	0.115
20.75	132.831115722656	0.11
21	130.092163085938	0.06
21.25	131.198425292969	0.095
21.5	133.710327148438	0.1
21.75	132.460021972656	0.11
22	135.905456542969	0.13
22.25	132.027587890625	0.1
22.5	135.418701171875	0.155
22.75	132.867431640625	0.1
23	135.108642578125	0.13
23.25	130.610046386719	0.085
23.5	137.761535644531	0.185
23.75	134.410095214844	0.155
24	133.618774414062	0.15
24.25	136.588439941406	0.185
24.5	134.322509765625	0.135
24.75	134.476623535156	0.125
25	137.122192382812	0.19
25.25	134.154968261719	0.145
25.5	132.257690429688	0.11
25.75	134.1796875	0.145
26	134.868469238281	0.185
26.25	130.307006835938	0.09
26.5	132.452087402344	0.115
26.75	128.739624023438	0.065
27	132.903747558594	0.135
27.25	133.213500976562	0.095
27.5	133.171081542969	0.11
27.75	130.862731933594	0.095
28	133.662719726562	0.105
28.25	129.685974121094	0.055
28.5	132.676696777344	0.1
28.75	130.572204589844	0.085
29	127.835083007812	0.06
29.25	129.395751953125	0.075
29.5	128.375854492188	0.06
29.75	129.771423339844	0.105
30	128.406982421875	0.07
