# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	146.949462890625	0.35
0.25	142.023010253906	0.27
0.5	141.116943359375	0.27
0.75	142.696533203125	0.285
1	141.519165039062	0.265
1.25	133.721923828125	0.14
1.5	134.74853515625	0.155
1.75	131.30615234375	0.095
2	132.96630859375	0.115
2.25	129.404296875	0.095
2.5	129.334411621094	0.085
2.75	128.235473632812	0.075
3	129.342041015625	0.1
3.25	131.259460449219	0.13
3.5	136.977844238281	0.215
3.75	137.687683105469	0.22
4	142.090148925781	0.295
4.25	146.302185058594	0.335
4.5	149.074096679688	0.385
4.75	154.551696777344	0.485
5	161.726379394531	0.605
5.25	163.386535644531	0.62
5.5	170.144653320312	0.715
5.75	171.969604492188	0.775
6	176.28662109375	0.825
6.25	175.771484375	0.82
6.5	180.266418457031	0.895
6.75	181.793212890625	0.91
7	179.0478515625	0.88
7.25	181.388854980469	0.93
7.5	177.115783691406	0.84
7.75	172.289428710938	0.775
8	171.041564941406	0.75
8.25	169.833984375	0.705
8.5	166.746215820312	0.66
8.75	160.881042480469	0.545
9	155.014343261719	0.475
9.25	150.431213378906	0.41
9.5	143.644104003906	0.27
9.75	141.651000976562	0.265
10	135.126037597656	0.15
10.25	140.064086914062	0.23
10.5	130.069885253906	0.09
10.75	133.544616699219	0.135
11	133.434753417969	0.125
11.25	131.231384277344	0.095
11.5	140.237731933594	0.19
11.75	139.012145996094	0.175
12	137.646484375	0.135
12.25	134.022216796875	0.17
12.5	135.710144042969	0.18
12.75	138.599548339844	0.24
13	141.971740722656	0.245
13.25	142.510375976562	0.28
13.5	141.213684082031	0.25
13.75	145.521240234375	0.345
14	142.557373046875	0.255
14.25	142.669067382812	0.275
14.5	141.840515136719	0.31
14.75	136.563110351562	0.195
15	138.624877929688	0.19
15.25	139.316101074219	0.22
15.5	136.534423828125	0.17
15.75	136.53564453125	0.17
16	132.052612304688	0.085
16.25	130.160522460938	0.095
16.5	132.647705078125	0.11
16.75	129.097595214844	0.075
17	131.806640625	0.105
17.25	132.7587890625	0.125
17.5	134.571228027344	0.155
17.75	134.264526367188	0.165
18	142.92236328125	0.285
18.25	141.949157714844	0.275
18.5	144.101867675781	0.325
18.75	151.139831542969	0.435
19	156.343078613281	0.5
19.25	162.370300292969	0.6
19.5	168.135986328125	0.69
19.75	172.183837890625	0.77
20	173.052368164062	0.78
20.25	177.42919921875	0.82
20.5	181.075134277344	0.91
20.75	177.60498046875	0.855
21	182.041320800781	0.925
21.25	178.9892578125	0.89
21.5	178.990478515625	0.865
21.75	173.495788574219	0.815
22	173.655090332031	0.77
22.25	166.676635742188	0.67
22.5	163.460998535156	0.63
22.75	160.098571777344	0.57
23	157.5439453125	0.535
23.25	151.431579589844	0.425
23.5	146.401672363281	0.355
23.75	145.622253417969	0.325
24	137.319641113281	0.215
24.25	133.247680664062	0.15
24.5	132.762145996094	0.14
24.75	129.228210449219	0.095
25	133.230285644531	0.16
25.25	129.686889648438	0.095
25.5	130.044250488281	0.095
25.75	129.787292480469	0.095
26	129.20166015625	0.09
26.25	131.150512695312	0.13
26.5	136.579284667969	0.22
26.75	136.000366210938	0.205
27	137.084655761719	0.22
27.25	136.465759277344	0.215
27.5	140.689392089844	0.285
27.75	138.27392578125	0.25
28	143.165893554688	0.32
28.25	141.951293945312	0.305
28.5	142.440490722656	0.3
28.75	142.004699707031	0.285
29	138.938903808594	0.26
29.25	139.624633789062	0.255
29.5	138.509521484375	0.235
29.75	133.338012695312	0.155
30	130.973510742188	0.11
