# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	136.513977050781	0.135
0.25	144.467468261719	0.26
0.5	144.361877441406	0.265
0.75	152.47802734375	0.37
1	156.396484375	0.48
1.25	163.8623046875	0.585
1.5	172.293395996094	0.71
1.75	175.041198730469	0.765
2	178.2080078125	0.805
2.25	180.108032226562	0.825
2.5	183.593139648438	0.9
2.75	182.921752929688	0.875
3	182.652282714844	0.895
3.25	182.319946289062	0.88
3.5	176.246948242188	0.79
3.75	174.410705566406	0.75
4	168.589477539062	0.68
4.25	163.343200683594	0.575
4.5	158.519592285156	0.51
4.75	153.6865234375	0.405
5	143.853759765625	0.26
5.25	143.282775878906	0.235
5.5	138.320007324219	0.19
5.75	138.243408203125	0.19
6	131.939086914062	0.085
6.25	132.258605957031	0.08
6.5	130.538024902344	0.085
6.75	137.30224609375	0.165
7	140.799560546875	0.225
7.25	142.765808105469	0.245
7.5	144.971923828125	0.275
7.75	154.603576660156	0.425
8	160.919189453125	0.55
8.25	161.706237792969	0.575
8.5	169.837341308594	0.69
8.75	176.919250488281	0.785
9	179.130249023438	0.805
9.25	178.954467773438	0.845
9.5	180.760192871094	0.885
9.75	183.624267578125	0.91
10	182.905578613281	0.9
10.25	183.684997558594	0.905
10.5	181.372985839844	0.84
10.75	180.800170898438	0.835
11	171.795654296875	0.685
11.25	166.417541503906	0.645
11.5	158.6474609375	0.52
11.75	154.065246582031	0.415
12	151.884155273438	0.4
12.25	142.491149902344	0.27
12.5	141.7822265625	0.215
12.75	138.754577636719	0.17
13	134.846496582031	0.11
13.25	131.81884765625	0.07
13.5	133.681335449219	0.085
13.75	134.224853515625	0.105
14	134.220581054688	0.11
14.25	139.502868652344	0.205
14.5	144.684448242188	0.285
14.75	148.829345703125	0.36
15	155.477600097656	0.47
15.25	162.582092285156	0.56
15.5	168.80859375	0.655
15.75	171.598510742188	0.73
16	172.396545410156	0.755
16.25	173.064575195312	0.77
16.5	178.636474609375	0.845
16.75	183.521423339844	0.92
17	182.253723144531	0.895
17.25	180.621643066406	0.88
17.5	176.172485351562	0.795
17.75	171.597595214844	0.74
18	168.16650390625	0.67
18.25	163.453063964844	0.605
18.5	157.509765625	0.49
18.75	151.914367675781	0.41
19	150.277709960938	0.38
19.25	145.801696777344	0.28
19.5	139.261169433594	0.185
19.75	136.026306152344	0.155
20	131.841125488281	0.085
20.25	133.899230957031	0.11
20.5	128.941040039062	0.055
20.75	130.72021484375	0.1
21	135.391235351562	0.175
21.25	139.107666015625	0.195
21.5	138.401184082031	0.24
21.75	146.680603027344	0.34
22	155.378723144531	0.485
22.25	157.080993652344	0.51
22.5	169.264526367188	0.69
22.75	170.393676757812	0.71
23	175.828247070312	0.785
23.25	177.839965820312	0.85
23.5	183.226623535156	0.915
23.75	180.761413574219	0.905
24	184.096374511719	0.955
24.25	181.557922363281	0.89
24.5	178.995361328125	0.855
24.75	176.882019042969	0.8
25	171.695861816406	0.74
25.25	163.769836425781	0.61
25.5	158.725280761719	0.51
25.75	156.534118652344	0.47
26	153.3447265625	0.435
26.25	142.688598632812	0.235
26.5	138.283081054688	0.185
26.75	139.041137695312	0.205
27	133.045043945312	0.105
27.25	134.136657714844	0.125
27.5	131.625671386719	0.095
27.75	132.90283203125	0.095
28	137.132568359375	0.165
28.25	135.166015625	0.15
28.5	145.2783203125	0.315
28.75	150.537414550781	0.375
29	156.449279785156	0.45
29.25	158.213500976562	0.5
29.5	164.28955078125	0.585
29.75	169.590759277344	0.695
30	175.458984375	0.79
