# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	136.689758300781	0.13
0.25	139.167785644531	0.135
0.5	140.9619140625	0.215
0.75	144.259948730469	0.235
1	145.001525878906	0.24
1.25	143.667907714844	0.24
1.5	145.24658203125	0.275
1.75	147.386169433594	0.285
2	149.97802734375	0.345
2.25	152.203674316406	0.405
2.5	153.376159667969	0.4
2.75	154.691772460938	0.44
3	156.8017578125	0.48
3.25	153.296813964844	0.41
3.5	157.277221679688	0.465
3.75	154.151611328125	0.425
4	158.203125	0.495
4.25	151.80908203125	0.4
4.5	151.687316894531	0.375
4.75	150.430297851562	0.355
5	153.899536132812	0.395
5.25	152.235717773438	0.395
5.5	148.542785644531	0.34
5.75	151.211853027344	0.365
6	146.012573242188	0.285
6.25	143.945922851562	0.245
6.5	142.662048339844	0.19
6.75	138.775634765625	0.155
7	143.630676269531	0.225
7.25	141.022338867188	0.185
7.5	138.611755371094	0.14
7.75	134.183959960938	0.105
8	132.5341796875	0.105
8.25	135.507507324219	0.125
8.5	134.402465820312	0.075
8.75	135.241394042969	0.115
9	135.552368164062	0.115
9.25	131.583862304688	0.065
9.5	134.335327148438	0.135
9.75	131.722106933594	0.09
10	130.6494140625	0.1
10.25	136.812744140625	0.175
10.5	136.109619140625	0.155
10.75	136.040344238281	0.125
11	135.914611816406	0.145
11.25	135.6982421875	0.135
11.5	135.723571777344	0.135
11.75	131.58935546875	0.085
12	131.521301269531	0.09
12.25	135.420837402344	0.095
12.5	136.455078125	0.13
12.75	134.900817871094	0.095
13	136.673583984375	0.105
13.25	134.202270507812	0.08
13.5	134.631652832031	0.1
13.75	134.50927734375	0.125
14	135.338134765625	0.11
14.25	135.9423828125	0.13
14.5	135.015563964844	0.145
14.75	135.371398925781	0.165
15	135.922546386719	0.175
15.25	136.449890136719	0.2
15.5	142.066345214844	0.27
15.75	144.966125488281	0.32
16	140.37109375	0.24
16.25	145.672302246094	0.33
16.5	148.280944824219	0.395
16.75	149.313354492188	0.375
17	152.896423339844	0.43
17.25	153.006286621094	0.43
17.5	154.277038574219	0.475
17.75	153.13232421875	0.45
18	157.800598144531	0.54
18.25	153.690490722656	0.46
18.5	155.362243652344	0.455
18.75	158.447875976562	0.485
19	148.604736328125	0.375
19.25	148.336181640625	0.355
19.5	154.64111328125	0.405
19.75	146.793518066406	0.32
20	145.752563476562	0.29
20.25	143.463134765625	0.285
20.5	139.716186523438	0.205
20.75	140.478210449219	0.195
21	138.914184570312	0.165
21.25	140.791320800781	0.19
21.5	134.91943359375	0.11
21.75	133.883666992188	0.095
22	132.680969238281	0.11
22.25	139.211120605469	0.165
22.5	134.014892578125	0.125
22.75	135.470886230469	0.15
23	134.768676757812	0.135
23.25	135.711669921875	0.105
23.5	135.44189453125	0.135
23.75	135.003967285156	0.13
24	133.216247558594	0.095
24.25	130.714111328125	0.06
24.5	131.856689453125	0.105
24.75	136.573791503906	0.165
25	134.176330566406	0.115
25.25	133.496704101562	0.1
25.5	131.114196777344	0.07
25.75	134.9658203125	0.14
26	131.141662597656	0.08
26.25	131.087951660156	0.08
26.5	132.293090820312	0.09
26.75	133.238220214844	0.11
27	134.622802734375	0.125
27.25	131.771545410156	0.11
27.5	133.257751464844	0.12
27.75	129.241638183594	0.065
28	132.521362304688	0.12
28.25	135.518798828125	0.145
28.5	134.129028320312	0.145
28.75	135.079956054688	0.16
29	135.207824707031	0.145
29.25	141.829833984375	0.255
29.5	144.127807617188	0.285
29.75	147.09716796875	0.345
30	145.206604003906	0.33
