# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.13
0.6	0.13
1.2	0.138333333333333
1.8	0.108333333333333
2.4	0.1
3	0.0866666666666667
3.6	0.08
4.2	0.0783333333333333
4.8	0.0983333333333333
5.4	0.0716666666666667
6	0.0766666666666667
6.6	0.0833333333333333
7.2	0.0983333333333333
7.8	0.0733333333333333
8.4	0.0716666666666667
9	0.09
9.6	0.08
10.2	0.0783333333333333
10.8	0.0866666666666667
11.4	0.0716666666666667
12	0.08
12.6	0.095
13.2	0.08
13.8	0.121666666666667
14.4	0.0833333333333333
15	0.0883333333333333
15.6	0.08
16.2	0.0966666666666667
16.8	0.0766666666666667
17.4	0.0883333333333333
18	0.07
18.6	0.0966666666666667
19.2	0.0716666666666667
19.8	0.0816666666666667
20.4	0.0766666666666667
21	0.0983333333333333
21.6	0.0933333333333333
22.2	0.116666666666667
22.8	0.108333333333333
23.4	0.11
24	0.0816666666666667
24.6	0.123333333333333
25.2	0.085
25.8	0.095
26.4	0.11
27	0.105
27.6	0.153333333333333
28.2	0.123333333333333
28.8	0.11
29.4	0.1
30	0.121666666666667
30.6	0.106666666666667
31.2	0.123333333333333
31.8	0.0933333333333333
32.4	0.116666666666667
33	0.095
33.6	0.111666666666667
34.2	0.0833333333333333
34.8	0.095
35.4	0.0733333333333333
36	0.07
36.6	0.0783333333333333
37.2	0.0983333333333333
37.8	0.09
38.4	0.0983333333333333
39	0.113333333333333
39.6	0.103333333333333
40.2	0.126666666666667
40.8	0.103333333333333
41.4	0.095
42	0.0683333333333333
42.6	0.08
43.2	0.08
43.8	0.0866666666666667
44.4	0.106666666666667
45	0.0916666666666667
45.6	0.0933333333333333
46.2	0.0733333333333333
46.8	0.09
47.4	0.11
48	0.0916666666666667
48.6	0.106666666666667
49.2	0.0966666666666667
49.8	0.095
50.4	0.113333333333333
51	0.1
51.6	0.103333333333333
52.2	0.113333333333333
52.8	0.106666666666667
53.4	0.0833333333333333
54	0.148333333333333
54.6	0.155
55.2	0.101666666666667
55.8	0.0866666666666667
56.4	0.111666666666667
57	0.12
57.6	0.118333333333333
58.2	0.115
58.8	0.103333333333333
59.4	0.0966666666666667
60	0.108333333333333
