# vP1_Q1Q4_AC_set	wait_q4_set	su_S_North
# "vP1_Q1Q4_AC"	"wait_q4"	"su_S_North"
# 21	61
56.1	60	0.505
56.1	61.5	0.71
56.1	63	0.78
56.1	64.5	0.875
56.1	66	0.89
56.1	67.5	0.865
56.1	69	0.775
56.1	70.5	0.645
56.1	72	0.515
56.1	73.5	0.335
56.1	75	0.29
56.1	76.5	0.22
56.1	78	0.12
56.1	79.5	0.225
56.1	81	0.435
56.1	82.5	0.485
56.1	84	0.64
56.1	85.5	0.725
56.1	87	0.845
56.1	88.5	0.885
56.1	90	0.86

56	0	0.725
56	1.5	0.605
56	3	0.455
56	4.5	0.32
56	6	0.205
56	7.5	0.195
56	9	0.17
56	10.5	0.27
56	12	0.395
56	13.5	0.54
56	15	0.695
56	16.5	0.79
56	18	0.9
56	19.5	0.915
56	21	0.82
56	22.5	0.87
56	24	0.58
56	25.5	0.51
56	27	0.34
56	28.5	0.205
56	30	0.215
56	31.5	0.155
56	33	0.205
56	34.5	0.275
56	36	0.435
56	37.5	0.68
56	39	0.76
56	40.5	0.825
56	42	0.905
56	43.5	0.835
56	45	0.775
56	46.5	0.72
56	48	0.505
56	49.5	0.4
56	51	0.27
56	52.5	0.225
56	54	0.13
56	55.5	0.12
56	57	0.3
56	58.5	0.56
56	60	0.565
56	61.5	0.765
56	63	0.84
56	64.5	0.91
56	66	0.91
56	67.5	0.81
56	69	0.62
56	70.5	0.58
56	72	0.455
56	73.5	0.275
56	75	0.21
56	76.5	0.165
56	78	0.23
56	79.5	0.245
56	81	0.39
56	82.5	0.655
56	84	0.735
56	85.5	0.835
56	87	0.85
56	88.5	0.87
56	90	0.825

55.9	0	0.72
55.9	1.5	0.61
55.9	3	0.38
55.9	4.5	0.325
55.9	6	0.185
55.9	7.5	0.21
55.9	9	0.16
55.9	10.5	0.25
55.9	12	0.33
55.9	13.5	0.38
55.9	15	0.61
55.9	16.5	0.705
55.9	18	0.825
55.9	19.5	0.87
55.9	21	0.92
55.9	22.5	0.77
55.9	24	0.71
55.9	25.5	0.535
55.9	27	0.37
55.9	28.5	0.375
55.9	30	0.14
55.9	31.5	0.14
55.9	33	0.245
55.9	34.5	0.375
55.9	36	0.455
55.9	37.5	0.595
55.9	39	0.725
55.9	40.5	0.865
55.9	42	0.915
55.9	43.5	0.885
55.9	45	0.78
55.9	46.5	0.685
55.9	48	0.49
55.9	49.5	0.42
55.9	51	0.285
55.9	52.5	0.2
55.9	54	0.18
55.9	55.5	0.19
55.9	57	0.35
55.9	58.5	0.56
55.9	60	0.545
55.9	61.5	0.76
55.9	63	0.71
55.9	64.5	0.87
55.9	66	0.87
55.9	67.5	0.87
55.9	69	0.705
55.9	70.5	0.52
55.9	72	0.46
55.9	73.5	0.325
55.9	75	0.34
55.9	76.5	0.16
55.9	78	0.17
55.9	79.5	0.195
55.9	81	0.37
55.9	82.5	0.525
55.9	84	0.64
55.9	85.5	0.745
55.9	87	0.87
55.9	88.5	0.88
55.9	90	0.845

55.8	0	0.725
55.8	1.5	0.645
55.8	3	0.575
55.8	4.5	0.32
55.8	6	0.185
55.8	7.5	0.155
55.8	9	0.17
55.8	10.5	0.32
55.8	12	0.49
55.8	13.5	0.615
55.8	15	0.72
55.8	16.5	0.81
55.8	18	0.855
55.8	19.5	0.91
55.8	21	0.81
55.8	22.5	0.73
55.8	24	0.55
55.8	25.5	0.485
55.8	27	0.32
55.8	28.5	0.23
55.8	30	0.19
55.8	31.5	0.24
55.8	33	0.355
55.8	34.5	0.455
55.8	36	0.61
55.8	37.5	0.675
55.8	39	0.785
55.8	40.5	0.865
55.8	42	0.885
55.8	43.5	0.79
55.8	45	0.685
55.8	46.5	0.58
55.8	48	0.37
55.8	49.5	0.31
55.8	51	0.21
55.8	52.5	0.2
55.8	54	0.22
55.8	55.5	0.29
55.8	57	0.46
55.8	58.5	0.545
55.8	60	0.735
55.8	61.5	0.8
55.8	63	0.915
55.8	64.5	0.88
55.8	66	0.83
55.8	67.5	0.75
55.8	69	0.73
55.8	70.5	0.655
55.8	72	0.325
55.8	73.5	0.22
55.8	75	0.215
55.8	76.5	0.285
55.8	78	0.305
55.8	79.5	0.455
55.8	81	0.58
55.8	82.5	0.73
55.8	84	0.795
55.8	85.5	0.82
55.8	87	0.89
55.8	88.5	0.785
55.8	90	0.685

55.7	0	0.725
55.7	1.5	0.53
55.7	3	0.46
55.7	4.5	0.31
55.7	6	0.185
55.7	7.5	0.22
55.7	9	0.24
55.7	10.5	0.24
55.7	12	0.48
55.7	13.5	0.675
55.7	15	0.75
55.7	16.5	0.84
55.7	18	0.9
55.7	19.5	0.9
55.7	21	0.79
55.7	22.5	0.685
55.7	24	0.525
55.7	25.5	0.385
55.7	27	0.245
55.7	28.5	0.205
55.7	30	0.125
55.7	31.5	0.245
55.7	33	0.405
55.7	34.5	0.43
55.7	36	0.68
55.7	37.5	0.71
55.7	39	0.845
55.7	40.5	0.855
55.7	42	0.835
55.7	43.5	0.74
55.7	45	0.605
55.7	46.5	0.48
55.7	48	0.32
55.7	49.5	0.225
55.7	51	0.16
55.7	52.5	0.205
55.7	54	0.27
55.7	55.5	0.28
55.7	57	0.505
55.7	58.5	0.625
55.7	60	0.755
55.7	61.5	0.79
55.7	63	0.83
55.7	64.5	0.785
55.7	66	0.76
55.7	67.5	0.61
