# waittime_end_set	su_S_North
# "waittime_end"	"su_S_North"
# 21
0	0.658
30	0.66
60	0.703
90	0.658
120	0.699
150	0.66
180	0.665
210	0.651
240	0.652
270	0.629
300	0.616
330	0.671
360	0.688
390	0.632
420	0.727
450	0.712
480	0.68
510	0.703
540	0.675
570	0.661
600	0.609
