# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.135	0.0425	0.70625	0.11625	0.8225	0.15875
240	0.12	0.04125	0.7225	0.11625	0.83875	0.1575
480	0.11625	0.04	0.71375	0.13	0.84375	0.17
720	0.0962500000000001	0.03125	0.7625	0.11	0.8725	0.14125
960	0.12875	0.05375	0.6975	0.12	0.8175	0.17375
1200	0.11125	0.03375	0.73875	0.11625	0.855	0.15
1440	0.1025	0.0525	0.74	0.105	0.845	0.1575
1680	0.115	0.0525	0.7025	0.13	0.8325	0.1825
1920	0.105	0.045	0.73875	0.11125	0.85	0.15625
2160	0.12	0.03125	0.74375	0.105	0.84875	0.13625
2400	0.13125	0.02375	0.73	0.115	0.845	0.13875
2640	0.0975000000000001	0.045	0.73125	0.12625	0.8575	0.17125
2880	0.12875	0.0425	0.72375	0.105	0.82875	0.1475
3120	0.11125	0.04625	0.72125	0.12125	0.8425	0.1675
3360	0.12	0.04375	0.7225	0.11375	0.83625	0.1575
3600	0.115	0.03375	0.705	0.14625	0.85125	0.18
3840	0.10875	0.02625	0.74375	0.12125	0.865	0.1475
4080	0.1	0.0425	0.74125	0.11625	0.8575	0.15875
4320	0.12875	0.05125	0.68375	0.13625	0.82	0.1875
4560	0.13625	0.035	0.71375	0.115	0.82875	0.15
4800	0.11875	0.0475	0.72625	0.1075	0.83375	0.155
5040	0.15	0.04875	0.6825	0.11875	0.80125	0.1675
5280	0.1825	0.05125	0.625	0.14125	0.76625	0.1925
5520	0.1975	0.0475	0.6425	0.1125	0.755	0.16
5760	0.21875	0.0475	0.62125	0.1125	0.73375	0.16
6000	0.23625	0.06375	0.59875	0.10125	0.7	0.165
6240	0.2475	0.0625	0.5775	0.1125	0.69	0.175
6480	0.2825	0.06375	0.56375	0.09	0.65375	0.15375
6720	0.325	0.0425	0.545	0.0875	0.6325	0.13
6960	0.31375	0.07875	0.49875	0.10875	0.6075	0.1875
7200	0.29875	0.06	0.54375	0.0975	0.64125	0.1575
7440	0.32125	0.07375	0.5	0.105	0.605	0.17875
7680	0.34375	0.07125	0.47875	0.10625	0.585	0.1775
7920	0.35125	0.05875	0.49375	0.09625	0.59	0.155
8160	0.36125	0.0825	0.4825	0.07375	0.55625	0.15625
8400	0.39625	0.07	0.44125	0.0925	0.53375	0.1625
8640	0.4175	0.06125	0.45375	0.0675	0.52125	0.12875
8880	0.3775	0.07375	0.44875	0.1	0.54875	0.17375
9120	0.37125	0.09125	0.435	0.1025	0.5375	0.19375
9360	0.41625	0.06	0.4575	0.06625	0.52375	0.12625
9600	0.40375	0.07625	0.4325	0.0875	0.52	0.16375
9840	0.42	0.05375	0.4425	0.08375	0.52625	0.1375
10080	0.4	0.0775	0.43125	0.09125	0.5225	0.16875
10320	0.37875	0.09	0.42875	0.1025	0.53125	0.1925
10560	0.38875	0.06125	0.445	0.105	0.55	0.16625
10800	0.345	0.05625	0.48625	0.1125	0.59875	0.16875
11040	0.38	0.05875	0.47625	0.085	0.56125	0.14375
11280	0.33875	0.06625	0.5125	0.0825	0.595	0.14875
11520	0.36	0.09125	0.46875	0.08	0.54875	0.17125
11760	0.345	0.06	0.48875	0.10625	0.595	0.16625
12000	0.37625	0.06875	0.46125	0.09375	0.555	0.1625
