# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 61
0	0.856666666666667
174	0.856666666666667
348	0.863333333333333
522	0.91
696	0.89
870	0.886666666666667
1044	0.863333333333333
1218	0.91
1392	0.91
1566	0.86
1740	0.876666666666667
1914	0.883333333333333
2088	0.826666666666667
2262	0.87
2436	0.83
2610	0.883333333333333
2784	0.853333333333333
2958	0.87
3132	0.856666666666667
3306	0.846666666666667
3480	0.87
3654	0.88
3828	0.893333333333333
4002	0.89
4176	0.87
4350	0.78
4524	0.9
4698	0.823333333333333
4872	0.883333333333333
5046	0.75
5220	0.803333333333333
5394	0.86
5568	0.74
5742	0.766666666666667
5916	0.376666666666667
6090	0.6
6264	0.823333333333333
6438	0.816666666666667
6612	0.756666666666667
6786	0.863333333333333
6960	0.743333333333333
7134	0.743333333333333
7308	0.796666666666667
7482	0.776666666666667
7656	0.87
7830	0.816666666666667
8004	0.843333333333333
8178	0.83
8352	0.8
8526	0.776666666666667
8700	0.756666666666667
8874	0.75
9048	0.756666666666667
9222	0.76
9396	0.79
9570	0.75
9744	0.81
9918	0.65
10092	0.516666666666667
10266	0.75
10440	0.67
