# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.1	0.0575	0.6875	0.155	0.8425	0.2125
160	0.14	0.065	0.6725	0.1225	0.795	0.1875
320	0.12	0.0425	0.7375	0.1	0.8375	0.1425
480	0.08	0.06	0.6925	0.1675	0.86	0.2275
640	0.14	0.07	0.5725	0.2175	0.79	0.2875
800	0.12	0.05	0.685	0.145	0.83	0.195
960	0.1275	0.0625	0.66	0.15	0.81	0.2125
1120	0.1225	0.08	0.6325	0.165	0.7975	0.245
1280	0.1225	0.0575	0.6675	0.1525	0.82	0.21
1440	0.14	0.0525	0.6025	0.205	0.8075	0.2575
1600	0.14	0.05	0.6575	0.1525	0.81	0.2025
1760	0.105	0.065	0.655	0.175	0.83	0.24
1920	0.17	0.0825	0.5925	0.155	0.7475	0.2375
2080	0.1725	0.07	0.6025	0.155	0.7575	0.225
2240	0.19	0.04	0.59	0.18	0.77	0.22
2400	0.165	0.0525	0.63	0.1525	0.7825	0.205
2560	0.1825	0.085	0.6025	0.13	0.7325	0.215
2720	0.175	0.125	0.525	0.175	0.7	0.3
2880	0.1825	0.045	0.6175	0.155	0.7725	0.2
3040	0.2325	0.055	0.5525	0.16	0.7125	0.215
3200	0.27	0.0575	0.5	0.1725	0.6725	0.23
3360	0.23	0.0675	0.5525	0.15	0.7025	0.2175
3520	0.315	0.0775	0.4725	0.135	0.6075	0.2125
3680	0.3225	0.0825	0.5	0.095	0.595	0.1775
3840	0.265	0.0725	0.53	0.1325	0.6625	0.205
4000	0.31	0.0675	0.495	0.1275	0.6225	0.195
4160	0.315	0.0825	0.45	0.1525	0.6025	0.235
4320	0.3325	0.0675	0.48	0.12	0.6	0.1875
4480	0.3875	0.065	0.435	0.1125	0.5475	0.1775
4640	0.3475	0.095	0.3925	0.165	0.5575	0.26
4800	0.395	0.065	0.41	0.13	0.54	0.195
4960	0.4075	0.0775	0.405	0.11	0.515	0.1875
5120	0.42	0.1075	0.3525	0.12	0.4725	0.2275
5280	0.4375	0.0775	0.375	0.11	0.485	0.1875
5440	0.39	0.0775	0.4	0.1325	0.5325	0.21
5600	0.4025	0.0875	0.38	0.13	0.51	0.2175
5760	0.3675	0.0625	0.435	0.135	0.57	0.1975
5920	0.4475	0.0975	0.3525	0.1025	0.455	0.2
6080	0.385	0.09	0.41	0.115	0.525	0.205
6240	0.42	0.0675	0.3925	0.12	0.5125	0.1875
6400	0.385	0.0525	0.4075	0.155	0.5625	0.2075
6560	0.405	0.07	0.3975	0.1275	0.525	0.1975
6720	0.445	0.065	0.355	0.135	0.49	0.2
6880	0.4225	0.0875	0.375	0.115	0.49	0.2025
7040	0.4175	0.07	0.39	0.1225	0.5125	0.1925
7200	0.4175	0.095	0.355	0.1325	0.4875	0.2275
7360	0.37	0.0625	0.395	0.1725	0.5675	0.235
7520	0.3625	0.095	0.385	0.1575	0.5425	0.2525
7680	0.33	0.0725	0.49	0.1075	0.5975	0.18
7840	0.3375	0.05	0.4975	0.115	0.6125	0.165
8000	0.33	0.0375	0.5525	0.08	0.6325	0.1175
