# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.13375	0.04375	0.71125	0.11125	0.8225	0.155
1000	0.1225	0.03	0.7375	0.11	0.8475	0.14
2000	0.12125	0.02625	0.7725	0.08	0.8525	0.10625
3000	0.10625	0.03625	0.75	0.1075	0.8575	0.14375
4000	0.10625	0.03375	0.74375	0.11625	0.86	0.15
5000	0.1375	0.04125	0.7375	0.08375	0.82125	0.125
6000	0.26375	0.06	0.57125	0.105	0.67625	0.165
7000	0.32125	0.0525	0.5375	0.08875	0.62625	0.14125
8000	0.345	0.0675	0.5075	0.08	0.5875	0.1475
9000	0.39875	0.06875	0.47125	0.06125	0.5325	0.13
10000	0.3925	0.07125	0.45	0.08625	0.53625	0.1575
11000	0.3775	0.05625	0.48625	0.08	0.56625	0.13625
12000	0.37875	0.0875	0.47	0.06375	0.53375	0.15125
13000	0.3975	0.05125	0.48125	0.07	0.55125	0.12125
14000	0.3925	0.05375	0.47875	0.075	0.55375	0.12875
15000	0.415	0.05625	0.4675	0.06125	0.52875	0.1175
16000	0.38875	0.065	0.48125	0.065	0.54625	0.13
17000	0.3825	0.0625	0.46625	0.08875	0.555	0.15125
18000	0.45625	0.05875	0.41125	0.07375	0.485	0.1325
19000	0.3975	0.06625	0.47625	0.06	0.53625	0.12625
20000	0.4125	0.05875	0.43	0.09875	0.52875	0.1575
21000	0.3925	0.08	0.455	0.0725	0.5275	0.1525
22000	0.37	0.05875	0.5075	0.06375	0.57125	0.1225
23000	0.37375	0.055	0.4975	0.07375	0.57125	0.12875
24000	0.4025	0.06125	0.46625	0.07	0.53625	0.13125
25000	0.36	0.065	0.4775	0.0975	0.575	0.1625
26000	0.3675	0.0625	0.4625	0.1075	0.57	0.17
27000	0.345	0.07875	0.48375	0.0925	0.57625	0.17125
28000	0.38375	0.07125	0.45125	0.09375	0.545	0.165
29000	0.39375	0.075	0.455	0.07625	0.53125	0.15125
30000	0.38625	0.07	0.42875	0.115	0.54375	0.185
31000	0.35875	0.07875	0.45625	0.10625	0.5625	0.185
32000	0.3975	0.0875	0.4325	0.0825	0.515	0.17
33000	0.4125	0.08625	0.4225	0.07875	0.50125	0.165
34000	0.4	0.07125	0.42	0.10875	0.52875	0.18
35000	0.40125	0.0725	0.4325	0.09375	0.52625	0.16625
36000	0.39875	0.075	0.4425	0.08375	0.52625	0.15875
37000	0.40875	0.06625	0.44125	0.08375	0.525	0.15
38000	0.40875	0.0775	0.43125	0.0825	0.51375	0.16
39000	0.41625	0.06875	0.43	0.085	0.515	0.15375
40000	0.4125	0.0675	0.44125	0.07875	0.52	0.14625
41000	0.41375	0.075	0.435	0.07625	0.51125	0.15125
42000	0.4575	0.0625	0.4025	0.0775	0.48	0.14
43000	0.41	0.06	0.45375	0.07625	0.53	0.13625
44000	0.41125	0.08	0.42875	0.08	0.50875	0.16
45000	0.435	0.0575	0.4175	0.09	0.5075	0.1475
46000	0.41375	0.0675	0.44125	0.0775	0.51875	0.145
47000	0.41875	0.08625	0.405	0.09	0.495	0.17625
48000	0.415	0.07	0.42125	0.09375	0.515	0.16375
49000	0.3725	0.075	0.46125	0.09125	0.5525	0.16625
50000	0.375	0.08125	0.4475	0.09625	0.54375	0.1775
