# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 58
0	0.256666666666667
34.1	0.4
68.2	0.55
102.3	0.74
136.4	0.79
170.5	0.863333333333333
204.6	0.866666666666667
238.7	0.836666666666667
272.8	0.78
306.9	0.686666666666667
341	0.54
375.1	0.44
409.2	0.343333333333333
443.3	0.26
477.4	0.193333333333333
511.5	0.233333333333333
545.6	0.233333333333333
579.7	0.276666666666667
613.8	0.443333333333333
647.9	0.473333333333333
682	0.663333333333333
716.1	0.756666666666667
750.2	0.663333333333333
784.3	0.776666666666667
818.4	0.806666666666667
852.5	0.806666666666667
886.6	0.75
920.7	0.606666666666667
954.8	0.56
988.9	0.366666666666667
1023	0.36
1057.1	0.42
1091.2	0.366666666666667
1125.3	0.353333333333333
1159.4	0.35
1193.5	0.316666666666667
1227.6	0.433333333333333
1261.7	0.453333333333333
1295.8	0.496666666666667
1329.9	0.643333333333333
1364	0.533333333333333
1398.1	0.653333333333333
1432.2	0.68
1466.3	0.62
1500.4	0.643333333333333
1534.5	0.676666666666667
1568.6	0.686666666666667
1602.7	0.636666666666667
1636.8	0.626666666666667
1670.9	0.59
1705	0.53
1739.1	0.483333333333333
1773.2	0.646666666666667
1807.3	0.486666666666667
1841.4	0.44
1875.5	0.433333333333333
1909.6	0.416666666666667
1943.7	0.516666666666667
