# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.15	0.045	0.6625	0.1425	0.805	0.1875
2000	0.1175	0.055	0.7	0.1275	0.8275	0.1825
4000	0.14	0.0325	0.72	0.1075	0.8275	0.14
6000	0.1575	0.035	0.7025	0.105	0.8075	0.14
8000	0.29	0.0675	0.5375	0.105	0.6425	0.1725
10000	0.3225	0.07	0.505	0.1025	0.6075	0.1725
12000	0.355	0.0675	0.4975	0.08	0.5775	0.1475
14000	0.325	0.05	0.5325	0.0925	0.625	0.1425
16000	0.3575	0.0625	0.49	0.09	0.58	0.1525
18000	0.32	0.0525	0.55	0.0775	0.6275	0.13
20000	0.3725	0.055	0.4925	0.08	0.5725	0.135
22000	0.3125	0.085	0.5175	0.085	0.6025	0.17
24000	0.28	0.07	0.5525	0.0975	0.65	0.1675
26000	0.33	0.08	0.5	0.09	0.59	0.17
28000	0.2975	0.0675	0.525	0.11	0.635	0.1775
30000	0.3525	0.08	0.4325	0.135	0.5675	0.215
32000	0.305	0.0625	0.5425	0.09	0.6325	0.1525
34000	0.3125	0.065	0.5475	0.075	0.6225	0.14
36000	0.315	0.0775	0.505	0.1025	0.6075	0.18
38000	0.335	0.08	0.49	0.095	0.585	0.175
40000	0.325	0.07	0.52	0.085	0.605	0.155
42000	0.3675	0.0525	0.4725	0.1075	0.58	0.16
44000	0.36	0.075	0.4875	0.0775	0.565	0.1525
46000	0.4	0.05	0.4625	0.0875	0.55	0.1375
48000	0.4325	0.06	0.435	0.0725	0.5075	0.1325
50000	0.375	0.065	0.46	0.1	0.56	0.165
52000	0.355	0.0825	0.5075	0.055	0.5625	0.1375
54000	0.36	0.0575	0.5	0.0825	0.5825	0.14
56000	0.3875	0.07	0.4525	0.09	0.5425	0.16
58000	0.365	0.075	0.475	0.085	0.56	0.16
60000	0.3775	0.09	0.4325	0.1	0.5325	0.19
62000	0.3925	0.0775	0.4125	0.1175	0.53	0.195
64000	0.4075	0.075	0.415	0.1025	0.5175	0.1775
66000	0.4	0.0775	0.43	0.0925	0.5225	0.17
68000	0.4425	0.0725	0.395	0.09	0.485	0.1625
70000	0.445	0.0475	0.4125	0.095	0.5075	0.1425
72000	0.435	0.055	0.42	0.09	0.51	0.145
74000	0.405	0.0925	0.4525	0.05	0.5025	0.1425
76000	0.41	0.0775	0.4275	0.085	0.5125	0.1625
78000	0.405	0.1025	0.385	0.1075	0.4925	0.21
80000	0.3925	0.1125	0.4225	0.0725	0.495	0.185
82000	0.3875	0.075	0.4625	0.075	0.5375	0.15
84000	0.4775	0.0675	0.3675	0.0875	0.455	0.155
86000	0.41	0.0925	0.3875	0.11	0.4975	0.2025
88000	0.4625	0.07	0.38	0.0875	0.4675	0.1575
90000	0.4425	0.08	0.4	0.0775	0.4775	0.1575
92000	0.3875	0.06	0.4675	0.085	0.5525	0.145
94000	0.4325	0.0625	0.425	0.08	0.505	0.1425
96000	0.4425	0.075	0.385	0.0975	0.4825	0.1725
98000	0.3825	0.09	0.4275	0.1	0.5275	0.19
100000	0.43	0.08	0.4025	0.0875	0.49	0.1675
