# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 51
0	0.8875
144	0.89
288	0.90875
432	0.89
576	0.89625
720	0.8975
864	0.8875
1008	0.875
1152	0.90625
1296	0.89125
1440	0.895
1584	0.895
1728	0.885
1872	0.8775
2016	0.86875
2160	0.835
2304	0.83375
2448	0.83875
2592	0.79375
2736	0.815
2880	0.795
3024	0.76625
3168	0.75375
3312	0.72625
3456	0.73625
3600	0.6725
3744	0.65125
3888	0.61125
4032	0.635
4176	0.635
4320	0.58875
4464	0.5925
4608	0.60375
4752	0.58
4896	0.55
5040	0.55
5184	0.5375
5328	0.55
5472	0.5375
5616	0.52125
5760	0.555
5904	0.55375
6048	0.53375
6192	0.50625
6336	0.54375
6480	0.56875
6624	0.54375
6768	0.55875
6912	0.5675
7056	0.575
7200	0.59375
