# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 63
0	0.866666666666667
7.9	0.803333333333333
15.8	0.713333333333333
23.7	0.576666666666667
31.6	0.406666666666667
39.5	0.26
47.4	0.2
55.3	0.226666666666667
63.2	0.293333333333333
71.1	0.416666666666667
79	0.47
86.9	0.526666666666667
94.8	0.73
102.7	0.726666666666667
110.6	0.763333333333333
118.5	0.78
126.4	0.473333333333333
134.3	0.64
142.2	0.56
150.1	0.383333333333333
158	0.4
165.9	0.32
173.8	0.35
181.7	0.36
189.6	0.466666666666667
197.5	0.53
205.4	0.456666666666667
213.3	0.553333333333333
221.2	0.613333333333333
229.1	0.683333333333333
237	0.686666666666667
244.9	0.63
252.8	0.68
260.7	0.55
268.6	0.55
276.5	0.546666666666667
284.4	0.456666666666667
292.3	0.47
300.2	0.46
308.1	0.5
316	0.476666666666667
323.9	0.553333333333333
331.8	0.53
339.7	0.58
347.6	0.61
355.5	0.606666666666667
363.4	0.58
371.3	0.613333333333333
379.2	0.55
387.1	0.596666666666667
395	0.54
402.9	0.58
410.8	0.593333333333333
418.7	0.573333333333333
426.6	0.606666666666667
434.5	0.52
442.4	0.543333333333333
450.3	0.556666666666667
458.2	0.553333333333333
466.1	0.473333333333333
474	0.54
481.9	0.486666666666667
489.8	0.453333333333333
