# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 32
0	0.193333333333333
30.8	0.176666666666667
61.6	0.246666666666667
92.4	0.473333333333333
123.2	0.666666666666667
154	0.83
184.8	0.816666666666667
215.6	0.82
246.4	0.78
277.2	0.616666666666667
308	0.423333333333333
338.8	0.32
369.6	0.283333333333333
400.4	0.223333333333333
431.2	0.316666666666667
462	0.37
492.8	0.513333333333333
523.6	0.49
554.4	0.723333333333333
585.2	0.756666666666667
616	0.8
646.8	0.763333333333333
677.6	0.596666666666667
708.4	0.62
739.2	0.47
770	0.56
800.8	0.43
831.6	0.336666666666667
862.4	0.35
893.2	0.4
924	0.38
954.8	0.523333333333333
