# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	148.286743164062	0.34
0.25	143.063659667969	0.28
0.5	139.58251953125	0.22
0.75	142.09228515625	0.23
1	139.58984375	0.195
1.25	132.380981445312	0.12
1.5	134.687805175781	0.125
1.75	131.153564453125	0.1
2	131.475830078125	0.085
2.25	132.516784667969	0.07
2.5	132.489013671875	0.065
2.75	138.643493652344	0.215
3	141.123046875	0.235
3.25	141.058654785156	0.25
3.5	147.71484375	0.355
3.75	152.625427246094	0.395
4	158.584289550781	0.525
4.25	165.526733398438	0.595
4.5	170.8984375	0.695
4.75	173.802490234375	0.74
5	175.51513671875	0.765
5.25	180.234375	0.865
5.5	182.552185058594	0.87
5.75	182.870178222656	0.89
6	183.373413085938	0.915
6.25	181.065673828125	0.885
6.5	182.592468261719	0.895
6.75	181.206970214844	0.875
7	174.471130371094	0.75
7.25	170.687866210938	0.73
7.5	168.158874511719	0.655
7.75	162.366943359375	0.58
8	152.521057128906	0.415
8.25	154.836730957031	0.44
8.5	146.771545410156	0.34
8.75	137.5732421875	0.2
9	143.228454589844	0.28
9.25	134.604797363281	0.145
9.5	130.643310546875	0.085
9.75	131.949768066406	0.09
10	132.960510253906	0.085
10.25	134.935302734375	0.11
10.5	133.267822265625	0.08
10.75	135.778503417969	0.12
11	136.914367675781	0.17
11.25	138.221740722656	0.215
11.5	142.980346679688	0.245
11.75	142.21435546875	0.25
12	145.184631347656	0.325
12.25	147.703552246094	0.35
12.5	147.404174804688	0.36
12.75	147.507934570312	0.35
13	150.128784179688	0.405
13.25	149.19677734375	0.37
13.5	150.359191894531	0.385
13.75	150.752563476562	0.38
14	142.858581542969	0.3
14.25	142.408447265625	0.265
14.5	143.573913574219	0.285
14.75	142.649230957031	0.285
15	134.307250976562	0.135
15.25	134.737854003906	0.135
15.5	131.235961914062	0.105
15.75	130.047912597656	0.09
16	132.073059082031	0.095
16.25	126.896362304688	0.055
16.5	131.745910644531	0.105
16.75	134.206848144531	0.135
17	134.093017578125	0.175
17.25	138.116760253906	0.2
17.5	146.680908203125	0.325
17.75	150.978698730469	0.385
18	154.588012695312	0.455
18.25	156.545715332031	0.49
18.5	163.031311035156	0.61
18.75	172.850646972656	0.76
19	171.373291015625	0.725
19.25	177.787475585938	0.81
19.5	179.036254882812	0.83
19.75	180.212097167969	0.865
20	182.152099609375	0.9
20.25	180.489807128906	0.875
20.5	178.080139160156	0.835
20.75	179.74609375	0.87
21	178.743286132812	0.87
21.25	168.906555175781	0.695
21.5	163.772277832031	0.605
21.75	166.807556152344	0.645
22	159.483642578125	0.555
22.25	156.952209472656	0.49
22.5	150.827026367188	0.37
22.75	141.329345703125	0.215
23	144.779663085938	0.24
23.25	138.558654785156	0.17
23.5	130.678100585938	0.085
23.75	132.666015625	0.095
24	131.880493164062	0.1
24.25	134.369812011719	0.095
24.5	131.499328613281	0.1
24.75	130.531005859375	0.08
25	136.536254882812	0.18
25.25	135.773620605469	0.155
25.5	138.613586425781	0.19
25.75	146.175231933594	0.305
26	147.623901367188	0.34
26.25	146.813354492188	0.32
26.5	153.477783203125	0.425
26.75	153.191833496094	0.38
27	154.185180664062	0.44
27.25	151.726684570312	0.425
27.5	151.330871582031	0.385
27.75	150.792846679688	0.4
28	150.102233886719	0.39
28.25	148.401184082031	0.36
28.5	143.556823730469	0.28
28.75	136.043395996094	0.18
29	137.611389160156	0.18
29.25	135.189208984375	0.15
29.5	135.368957519531	0.14
29.75	134.317932128906	0.14
30	126.831359863281	0.05
