# waittime_end_set	su_S_North
# "waittime_end"	"su_S_North"
# 21
0	0.683
30	0.689
60	0.701
90	0.677
120	0.665
150	0.684
180	0.642
210	0.632
240	0.653
270	0.661
300	0.663
330	0.655
360	0.682
390	0.727
420	0.698
450	0.719
480	0.683
510	0.69
540	0.66
570	0.646
600	0.653
