# waittime_end_set	su_S_North
# "waittime_end"	"su_S_North"
# 21
0	0.677
30	0.663
60	0.694
90	0.687
120	0.655
150	0.679
180	0.664
210	0.674
240	0.689
270	0.679
300	0.682
330	0.663
360	0.673
390	0.679
420	0.679
450	0.697
480	0.69
510	0.657
540	0.688
570	0.676
600	0.661
