# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	160.171203613281	0.575
0.25	157.642211914062	0.535
0.5	158.800354003906	0.57
0.75	155.693054199219	0.53
1	158.654174804688	0.56
1.25	154.16015625	0.47
1.5	154.910278320312	0.49
1.75	148.189697265625	0.38
2	150.038757324219	0.405
2.25	147.579040527344	0.355
2.5	137.568054199219	0.23
2.75	135.881958007812	0.18
3	136.509399414062	0.195
3.25	134.639587402344	0.16
3.5	129.838562011719	0.075
3.75	130.840454101562	0.115
4	129.000549316406	0.1
4.25	129.293823242188	0.095
4.5	130.148010253906	0.1
4.75	134.513854980469	0.165
5	137.105102539062	0.205
5.25	138.840026855469	0.24
5.5	142.734680175781	0.285
5.75	146.005859375	0.34
6	149.150085449219	0.405
6.25	155.869140625	0.5
6.5	157.54638671875	0.545
6.75	155.963134765625	0.545
7	160.541381835938	0.59
7.25	160.377807617188	0.58
7.5	164.8486328125	0.65
7.75	164.319763183594	0.665
8	156.083984375	0.525
8.25	157.692260742188	0.57
8.5	151.578979492188	0.455
8.75	151.874389648438	0.435
9	149.815979003906	0.43
9.25	141.527404785156	0.285
9.5	145.707092285156	0.31
9.75	139.229125976562	0.22
10	137.249450683594	0.18
10.25	132.587280273438	0.14
10.5	130.474853515625	0.11
10.75	129.093933105469	0.09
11	132.39501953125	0.14
11.25	128.852233886719	0.085
11.5	132.128601074219	0.135
11.75	131.806335449219	0.125
12	136.893310546875	0.185
12.25	138.768005371094	0.225
12.5	147.720642089844	0.335
12.75	148.640441894531	0.37
13	150.847778320312	0.415
13.25	153.190307617188	0.44
13.5	153.1591796875	0.44
13.75	160.045166015625	0.57
14	159.618835449219	0.575
14.25	157.545471191406	0.535
14.5	157.895202636719	0.52
14.75	159.042053222656	0.555
15	159.778747558594	0.56
15.25	155.440979003906	0.485
15.5	152.619934082031	0.455
15.75	150.494079589844	0.425
16	145.848999023438	0.37
16.25	148.796997070312	0.38
16.5	147.188110351562	0.37
16.75	139.414367675781	0.235
17	137.373352050781	0.195
17.25	136.455688476562	0.175
17.5	133.046875	0.095
17.75	132.044067382812	0.1
18	132.020568847656	0.09
18.25	127.712707519531	0.065
18.5	130.623168945312	0.085
18.75	134.965209960938	0.165
19	134.964904785156	0.175
19.25	139.407043457031	0.195
19.5	146.63818359375	0.325
19.75	149.981079101562	0.375
20	151.58203125	0.405
20.25	151.248474121094	0.415
20.5	152.887268066406	0.455
20.75	160.368041992188	0.53
21	164.088745117188	0.63
21.25	161.427001953125	0.575
21.5	169.917602539062	0.685
21.75	163.069152832031	0.585
22	165.1416015625	0.635
22.25	160.784301757812	0.55
22.5	162.249450683594	0.585
22.75	151.629333496094	0.425
23	155.759582519531	0.49
23.25	147.740478515625	0.36
23.5	140.498352050781	0.26
23.75	140.21728515625	0.285
24	137.817993164062	0.2
24.25	134.861755371094	0.175
24.5	133.773193359375	0.165
24.75	128.529357910156	0.07
25	127.20947265625	0.07
25.25	131.128234863281	0.1
25.5	131.0302734375	0.08
25.75	131.837158203125	0.115
26	135.023193359375	0.14
26.25	139.1357421875	0.235
26.5	140.646057128906	0.255
26.75	139.546203613281	0.245
27	143.546752929688	0.33
27.25	147.480163574219	0.375
27.5	152.198791503906	0.465
27.75	155.216979980469	0.495
28	158.578186035156	0.57
28.25	161.503601074219	0.61
28.5	159.50439453125	0.58
28.75	159.166564941406	0.575
29	156.572570800781	0.535
29.25	158.634338378906	0.555
29.5	156.022338867188	0.51
29.75	153.831176757812	0.46
30	147.754516601562	0.36
