# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.12375	0.0575	0.67	0.14875	0.81875	0.20625
200	0.10375	0.03625	0.73	0.13	0.86	0.16625
400	0.13375	0.03875	0.7125	0.115	0.8275	0.15375
600	0.10375	0.0475	0.715	0.13375	0.84875	0.18125
800	0.1325	0.0325	0.7175	0.1175	0.835	0.15
1000	0.10125	0.05	0.72875	0.12	0.84875	0.17
1200	0.14375	0.04125	0.73125	0.08375	0.815	0.125
1400	0.12	0.055	0.695	0.13	0.825	0.185
1600	0.1325	0.04625	0.69375	0.1275	0.82125	0.17375
1800	0.13625	0.04	0.67	0.15375	0.82375	0.19375
2000	0.13	0.045	0.685	0.14	0.825	0.185
2200	0.12375	0.0475	0.7075	0.12125	0.82875	0.16875
2400	0.13375	0.03125	0.71125	0.12375	0.835	0.155
2600	0.13375	0.035	0.71625	0.115	0.83125	0.15
2800	0.10625	0.035	0.73875	0.12	0.85875	0.155
3000	0.1175	0.04625	0.72625	0.11	0.83625	0.15625
3200	0.135	0.04	0.6975	0.1275	0.825	0.1675
3400	0.115	0.04875	0.70875	0.1275	0.83625	0.17625
3600	0.14625	0.05125	0.66375	0.13875	0.8025	0.19
3800	0.1375	0.0525	0.6675	0.1425	0.81	0.195
4000	0.13875	0.03875	0.69875	0.12375	0.8225	0.1625
4200	0.1675	0.0475	0.655	0.13	0.785	0.1775
4400	0.17875	0.04	0.6875	0.09375	0.78125	0.13375
4600	0.1475	0.05875	0.68375	0.11	0.79375	0.16875
4800	0.155	0.04875	0.66875	0.1275	0.79625	0.17625
5000	0.16625	0.04625	0.67	0.1175	0.7875	0.16375
5200	0.1975	0.0375	0.675	0.09	0.765	0.1275
5400	0.2075	0.05375	0.63	0.10875	0.73875	0.1625
5600	0.275	0.0625	0.565	0.0975	0.6625	0.16
5800	0.27625	0.0675	0.56125	0.095	0.65625	0.1625
6000	0.37375	0.07	0.465	0.09125	0.55625	0.16125
6200	0.37	0.06625	0.4825	0.08125	0.56375	0.1475
6400	0.375	0.06875	0.47375	0.0825	0.55625	0.15125
6600	0.38	0.06625	0.465	0.08875	0.55375	0.155
6800	0.4	0.04375	0.48875	0.0675	0.55625	0.11125
7000	0.36125	0.075	0.48125	0.0825	0.56375	0.1575
7200	0.3825	0.08	0.445	0.0925	0.5375	0.1725
7400	0.38625	0.065	0.4525	0.09625	0.54875	0.16125
7600	0.38	0.06875	0.455	0.09625	0.55125	0.165
7800	0.38875	0.07375	0.4425	0.095	0.5375	0.16875
8000	0.3975	0.06875	0.46	0.07375	0.53375	0.1425
8200	0.3925	0.08125	0.445	0.08125	0.52625	0.1625
8400	0.41875	0.07625	0.425	0.08	0.505	0.15625
8600	0.43625	0.07	0.415	0.07875	0.49375	0.14875
8800	0.42625	0.075	0.43375	0.065	0.49875	0.14
9000	0.42	0.0875	0.405	0.0875	0.4925	0.175
9200	0.39625	0.0825	0.41375	0.1075	0.52125	0.19
9400	0.4125	0.0575	0.43625	0.09375	0.53	0.15125
9600	0.40625	0.06	0.44875	0.085	0.53375	0.145
9800	0.44375	0.08375	0.40625	0.06625	0.4725	0.15
10000	0.41125	0.0675	0.4425	0.07875	0.52125	0.14625
