# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	171.6845703125	0.76
0.25	171.099243164062	0.76
0.5	173.719482421875	0.78
0.75	170.704040527344	0.75
1	171.990966796875	0.78
1.25	166.751098632812	0.695
1.5	170.70068359375	0.77
1.75	164.539489746094	0.675
2	164.837951660156	0.675
2.25	163.189392089844	0.63
2.5	162.285461425781	0.625
2.75	157.708740234375	0.525
3	153.251037597656	0.475
3.25	148.751831054688	0.4
3.5	147.220458984375	0.395
3.75	143.879699707031	0.34
4	144.316711425781	0.355
4.25	141.212158203125	0.28
4.5	141.669616699219	0.28
4.75	133.919677734375	0.195
5	132.242126464844	0.15
5.25	130.211486816406	0.135
5.5	128.544006347656	0.105
5.75	132.012939453125	0.14
6	127.295532226562	0.07
6.25	126.263732910156	0.07
6.5	127.892761230469	0.07
6.75	129.254150390625	0.115
7	127.139282226562	0.065
7.25	129.709167480469	0.11
7.5	127.07763671875	0.07
7.75	129.463806152344	0.105
8	129.904479980469	0.08
8.25	129.772033691406	0.095
8.5	127.873229980469	0.08
8.75	127.090454101562	0.07
9	128.937072753906	0.07
9.25	128.584899902344	0.08
9.5	131.6455078125	0.145
9.75	128.920593261719	0.095
10	130.014953613281	0.13
10.25	129.269409179688	0.115
10.5	131.207885742188	0.14
10.75	135.545043945312	0.21
11	132.937316894531	0.17
11.25	135.468444824219	0.225
11.5	139.169006347656	0.26
11.75	144.62890625	0.365
12	147.477722167969	0.385
12.25	148.453674316406	0.385
12.5	154.977416992188	0.49
12.75	154.852905273438	0.49
13	156.935424804688	0.55
13.25	158.935546875	0.565
13.5	168.427429199219	0.705
13.75	165.516662597656	0.67
14	167.046813964844	0.67
14.25	172.06298828125	0.76
14.5	169.139709472656	0.735
14.75	171.968078613281	0.785
15	172.463684082031	0.775
15.25	170.257568359375	0.735
15.5	167.353515625	0.71
15.75	165.763549804688	0.67
16	168.262634277344	0.695
16.25	161.912231445312	0.615
16.5	162.412414550781	0.605
16.75	154.6240234375	0.51
17	152.823486328125	0.48
17.25	146.769409179688	0.395
17.5	147.87353515625	0.42
17.75	140.643005371094	0.295
18	145.490417480469	0.355
18.25	140.831604003906	0.285
18.5	141.074523925781	0.295
18.75	134.335632324219	0.18
19	133.962097167969	0.195
19.25	130.476989746094	0.14
19.5	130.497741699219	0.135
19.75	127.0361328125	0.085
20	129.677124023438	0.1
20.25	128.198547363281	0.095
20.5	125.830688476562	0.075
20.75	127.681579589844	0.09
21	127.442321777344	0.075
21.25	128.351745605469	0.095
21.5	128.859252929688	0.105
21.75	128.343505859375	0.105
22	126.398315429688	0.06
22.25	130.226440429688	0.125
22.5	127.8125	0.095
22.75	128.926086425781	0.095
23	127.949829101562	0.095
23.25	128.778076171875	0.115
23.5	128.354187011719	0.085
23.75	130.176391601562	0.095
24	131.193542480469	0.13
24.25	131.560974121094	0.125
24.5	133.257446289062	0.155
24.75	137.26318359375	0.215
25	135.643005371094	0.215
25.25	136.468505859375	0.215
25.5	138.542175292969	0.235
25.75	143.204345703125	0.3
26	148.316040039062	0.36
26.25	148.08837890625	0.38
26.5	151.99462890625	0.435
26.75	155.44677734375	0.48
27	155.819702148438	0.485
27.25	160.436706542969	0.565
27.5	160.729064941406	0.595
27.75	166.987609863281	0.72
28	167.360229492188	0.69
28.25	165.846862792969	0.68
28.5	167.854614257812	0.735
28.75	169.649047851562	0.755
29	170.502319335938	0.75
29.25	168.065185546875	0.715
29.5	174.36767578125	0.805
29.75	169.905700683594	0.74
30	164.984436035156	0.675
