# vP3_Q2Q3_AC_set	su_S_North
# "vP3_Q2Q3_AC"	"su_S_North"
# 21
40	0.134
39.75	0.188
39.5	0.152
39.25	0.198
39	0.184
38.75	0.16
38.5	0.2
38.25	0.22
38	0.218
37.75	0.224
37.5	0.324
37.25	0.384
37	0.418
36.75	0.468
36.5	0.472
36.25	0.446
36	0.38
35.75	0.302
35.5	0.296
35.25	0.29
35	0.244
