# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	132.681274414062	0.14
0.25	131.679077148438	0.135
0.5	132.262573242188	0.11
0.75	134.165649414062	0.17
1	134.015197753906	0.125
1.25	134.786682128906	0.17
1.5	133.412475585938	0.135
1.75	129.173583984375	0.105
2	130.012512207031	0.09
2.25	131.797485351562	0.115
2.5	130.682678222656	0.1
2.75	132.735595703125	0.115
3	130.452270507812	0.075
3.25	128.447265625	0.09
3.5	129.815063476562	0.095
3.75	130.806274414062	0.105
4	131.676025390625	0.115
4.25	138.8720703125	0.185
4.5	137.629089355469	0.205
4.75	143.768310546875	0.295
5	144.439392089844	0.285
5.25	141.765441894531	0.255
5.5	150.463256835938	0.395
5.75	158.882446289062	0.515
6	154.844970703125	0.5
6.25	159.874572753906	0.57
6.5	160.110473632812	0.56
6.75	168.197021484375	0.67
7	165.815734863281	0.645
7.25	167.823791503906	0.7
7.5	169.599609375	0.705
7.75	168.345642089844	0.69
8	169.839172363281	0.715
8.25	167.245483398438	0.68
8.5	166.908874511719	0.68
8.75	166.149291992188	0.665
9	158.597717285156	0.535
9.25	159.468688964844	0.555
9.5	154.363098144531	0.47
9.75	153.909606933594	0.485
10	151.012573242188	0.42
10.25	149.873962402344	0.4
10.5	145.994567871094	0.305
10.75	139.320068359375	0.23
11	134.222412109375	0.155
11.25	133.753051757812	0.175
11.5	132.712097167969	0.12
11.75	132.576599121094	0.13
12	131.854553222656	0.105
12.25	130.8984375	0.085
12.5	130.380249023438	0.085
12.75	130.268249511719	0.07
13	129.592895507812	0.1
13.25	128.648071289062	0.08
13.5	129.108581542969	0.095
13.75	129.865112304688	0.1
14	129.573669433594	0.095
14.25	131.68701171875	0.125
14.5	135.9130859375	0.17
14.75	133.033447265625	0.135
15	131.766357421875	0.125
15.25	134.349060058594	0.135
15.5	132.216796875	0.12
15.75	129.552307128906	0.08
16	131.033020019531	0.1
16.25	133.061828613281	0.12
16.5	132.649841308594	0.125
16.75	132.244567871094	0.105
17	132.361145019531	0.085
17.25	128.32763671875	0.05
17.5	130.103454589844	0.085
17.75	130.872802734375	0.075
18	132.288818359375	0.14
18.25	132.555541992188	0.115
18.5	136.419372558594	0.16
18.75	137.185668945312	0.195
19	142.158203125	0.27
19.25	140.622253417969	0.24
19.5	150.037231445312	0.37
19.75	149.1552734375	0.38
20	155.211791992188	0.485
20.25	157.821960449219	0.495
20.5	163.371276855469	0.585
20.75	163.489379882812	0.62
21	162.281188964844	0.595
21.25	167.559814453125	0.655
21.5	167.371520996094	0.685
21.75	168.220825195312	0.705
22	169.72900390625	0.74
22.25	170.189819335938	0.735
22.5	168.052368164062	0.695
22.75	163.658142089844	0.63
23	157.723693847656	0.545
23.25	160.330505371094	0.56
23.5	157.4267578125	0.51
23.75	150.171813964844	0.41
24	148.224487304688	0.395
24.25	143.048400878906	0.315
24.5	147.420349121094	0.375
24.75	141.847229003906	0.295
25	140.904541015625	0.235
25.25	137.24853515625	0.19
25.5	133.711547851562	0.13
25.75	138.84033203125	0.19
26	133.419189453125	0.1
26.25	132.570190429688	0.09
26.5	131.625366210938	0.08
26.75	130.422058105469	0.06
27	133.384399414062	0.095
27.25	134.869079589844	0.105
27.5	135.225524902344	0.11
27.75	134.514465332031	0.12
28	136.141052246094	0.13
28.25	132.184143066406	0.095
28.5	136.846008300781	0.155
28.75	136.058654785156	0.115
29	138.551330566406	0.185
29.25	136.885375976562	0.14
29.5	133.704223632812	0.12
29.75	134.68505859375	0.125
30	134.322814941406	0.13
