# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 191
0	0.19
20.9	0.216666666666667
41.8	0.286666666666667
62.7	0.366666666666667
83.6	0.533333333333333
104.5	0.633333333333333
125.4	0.8
146.3	0.833333333333333
167.2	0.896666666666667
188.1	0.813333333333333
209	0.786666666666667
229.9	0.613333333333333
250.8	0.48
271.7	0.44
292.6	0.263333333333333
313.5	0.196666666666667
334.4	0.213333333333333
355.3	0.28
376.2	0.426666666666667
397.1	0.54
418	0.683333333333333
438.9	0.796666666666667
459.8	0.816666666666667
480.7	0.806666666666667
501.6	0.81
522.5	0.65
543.4	0.596666666666667
564.3	0.4
585.2	0.343333333333333
606.1	0.196666666666667
627	0.193333333333333
647.9	0.276666666666667
668.8	0.61
689.7	0.453333333333333
710.6	0.64
731.5	0.73
752.4	0.826666666666667
773.3	0.843333333333333
794.2	0.81
815.1	0.656666666666667
836	0.59
856.9	0.533333333333333
877.8	0.323333333333333
898.7	0.31
919.6	0.26
940.5	0.263333333333333
961.4	0.336666666666667
982.3	0.316666666666667
1003.2	0.493333333333333
1024.1	0.62
1045	0.666666666666667
1065.9	0.77
1086.8	0.78
1107.7	0.753333333333333
1128.6	0.64
1149.5	0.526666666666667
1170.4	0.493333333333333
1191.3	0.516666666666667
1212.2	0.333333333333333
1233.1	0.3
1254	0.276666666666667
1274.9	0.38
1295.8	0.446666666666667
1316.7	0.413333333333333
1337.6	0.633333333333333
1358.5	0.683333333333333
1379.4	0.686666666666667
1400.3	0.706666666666667
1421.2	0.7
1442.1	0.686666666666667
1463	0.566666666666667
1483.9	0.47
1504.8	0.5
1525.7	0.416666666666667
1546.6	0.3
1567.5	0.363333333333333
1588.4	0.403333333333333
1609.3	0.446666666666667
1630.2	0.486666666666667
1651.1	0.52
1672	0.553333333333333
1692.9	0.613333333333333
1713.8	0.626666666666667
1734.7	0.68
1755.6	0.65
1776.5	0.55
1797.4	0.556666666666667
1818.3	0.44
1839.2	0.483333333333333
1860.1	0.473333333333333
1881	0.34
1901.9	0.416666666666667
1922.8	0.41
1943.7	0.496666666666667
1964.6	0.496666666666667
1985.5	0.58
2006.4	0.703333333333333
2027.3	0.636666666666667
2048.2	0.5
2069.1	0.6
2090	0.59
2110.9	0.57
2131.8	0.536666666666667
2152.7	0.55
2173.6	0.5
2194.5	0.433333333333333
2215.4	0.48
2236.3	0.47
2257.2	0.52
2278.1	0.543333333333333
2299	0.523333333333333
2319.9	0.553333333333333
2340.8	0.576666666666667
2361.7	0.63
2382.6	0.65
2403.5	0.586666666666667
2424.4	0.586666666666667
2445.3	0.586666666666667
2466.2	0.55
2487.1	0.596666666666667
2508	0.486666666666667
2528.9	0.51
2549.8	0.526666666666667
2570.7	0.456666666666667
2591.6	0.46
2612.5	0.566666666666667
2633.4	0.49
2654.3	0.536666666666667
2675.2	0.576666666666667
2696.1	0.523333333333333
2717	0.583333333333333
2737.9	0.543333333333333
2758.8	0.52
2779.7	0.503333333333333
2800.6	0.51
2821.5	0.456666666666667
2842.4	0.533333333333333
2863.3	0.576666666666667
2884.2	0.513333333333333
2905.1	0.516666666666667
2926	0.52
2946.9	0.546666666666667
2967.8	0.5
2988.7	0.53
3009.6	0.59
3030.5	0.586666666666667
3051.4	0.536666666666667
3072.3	0.51
3093.2	0.553333333333333
3114.1	0.556666666666667
3135	0.556666666666667
3155.9	0.57
3176.8	0.573333333333333
3197.7	0.496666666666667
3218.6	0.526666666666667
3239.5	0.546666666666667
3260.4	0.526666666666667
3281.3	0.556666666666667
3302.2	0.536666666666667
3323.1	0.576666666666667
3344	0.53
3364.9	0.53
3385.8	0.54
3406.7	0.583333333333333
3427.6	0.513333333333333
3448.5	0.55
3469.4	0.543333333333333
3490.3	0.563333333333333
3511.2	0.543333333333333
3532.1	0.546666666666667
3553	0.493333333333333
3573.9	0.563333333333333
3594.8	0.52
3615.7	0.55
3636.6	0.6
3657.5	0.596666666666667
3678.4	0.55
3699.3	0.566666666666667
3720.2	0.583333333333333
3741.1	0.566666666666667
3762	0.61
3782.9	0.53
3803.8	0.533333333333333
3824.7	0.523333333333333
3845.6	0.53
3866.5	0.526666666666667
3887.4	0.573333333333333
3908.3	0.56
3929.2	0.533333333333333
3950.1	0.573333333333333
3971	0.51
