# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	146.585693359375	0.36
0.25	152.71240234375	0.465
0.5	159.653930664062	0.545
0.75	159.725341796875	0.58
1	166.368713378906	0.685
1.25	170.644836425781	0.75
1.5	175.31005859375	0.82
1.75	174.98046875	0.83
2	175.221862792969	0.835
2.25	176.0888671875	0.86
2.5	173.525390625	0.795
2.75	166.83837890625	0.69
3	167.8125	0.695
3.25	162.781372070312	0.61
3.5	163.618774414062	0.615
3.75	153.130187988281	0.49
4	147.320251464844	0.38
4.25	142.036743164062	0.29
4.5	137.593078613281	0.22
4.75	137.16064453125	0.2
5	131.495361328125	0.1
5.25	131.400451660156	0.115
5.5	130.014953613281	0.1
5.75	131.4892578125	0.12
6	130.562744140625	0.115
6.25	136.28173828125	0.14
6.5	139.943542480469	0.225
6.75	143.338928222656	0.285
7	149.944763183594	0.365
7.25	153.878784179688	0.45
7.5	162.834777832031	0.605
7.75	167.375183105469	0.685
8	169.769897460938	0.715
8.25	171.903381347656	0.745
8.5	173.963623046875	0.775
8.75	174.859313964844	0.81
9	176.295776367188	0.815
9.25	177.655639648438	0.86
9.5	174.98046875	0.83
9.75	170.664978027344	0.75
10	166.806335449219	0.655
10.25	168.740844726562	0.7
10.5	156.229553222656	0.525
10.75	158.761291503906	0.525
11	147.58544921875	0.35
11.25	149.135437011719	0.37
11.5	140.697937011719	0.25
11.75	137.170715332031	0.22
12	133.372192382812	0.13
12.25	130.67626953125	0.1
12.5	129.419250488281	0.085
12.75	129.404602050781	0.09
13	129.17724609375	0.055
13.25	134.313659667969	0.115
13.5	136.705932617188	0.19
13.75	143.326721191406	0.285
14	148.236083984375	0.355
14.25	157.2705078125	0.495
14.5	161.386413574219	0.565
14.75	159.073791503906	0.535
15	170.858764648438	0.705
15.25	168.543090820312	0.72
15.5	174.529113769531	0.785
15.75	175.6201171875	0.82
16	176.332702636719	0.81
16.25	177.164306640625	0.815
16.5	174.906616210938	0.785
16.75	178.370971679688	0.82
17	175	0.765
17.25	167.763671875	0.675
17.5	163.173828125	0.6
17.75	159.849548339844	0.535
18	153.81103515625	0.45
18.25	149.759521484375	0.36
18.5	140.76904296875	0.25
18.75	143.206176757812	0.25
19	135.028381347656	0.12
19.25	135.718688964844	0.155
19.5	131.129455566406	0.075
19.75	132.61962890625	0.08
20	131.560668945312	0.085
20.25	131.487426757812	0.105
20.5	142.056274414062	0.25
20.75	142.6220703125	0.255
21	154.270935058594	0.44
21.25	156.592407226562	0.48
21.5	157.794189453125	0.51
21.75	162.810668945312	0.605
22	165.445556640625	0.625
22.25	167.034606933594	0.64
22.5	174.561157226562	0.755
22.75	177.300109863281	0.83
23	180.512084960938	0.875
23.25	175.005798339844	0.815
23.5	179.344482421875	0.855
23.75	177.398376464844	0.815
24	171.469116210938	0.74
24.25	170.591735839844	0.695
24.5	169.434814453125	0.675
24.75	161.995239257812	0.585
25	154.617309570312	0.475
25.25	151.590576171875	0.405
25.5	142.392578125	0.27
25.75	137.344970703125	0.205
26	135.702514648438	0.15
26.25	135.535278320312	0.135
26.5	133.729858398438	0.105
26.75	130.370788574219	0.065
27	132.957458496094	0.09
27.25	133.508605957031	0.12
27.5	137.814331054688	0.2
27.75	140.971069335938	0.255
28	146.202392578125	0.34
28.25	150.945739746094	0.415
28.5	155.126953125	0.515
28.75	154.337158203125	0.52
29	164.736022949219	0.655
29.25	172.708740234375	0.785
29.5	173.014526367188	0.8
29.75	171.752014160156	0.785
30	177.481384277344	0.85
