# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.10875	0.0425	0.7075	0.14125	0.84875	0.18375
400	0.1175	0.03375	0.72375	0.125	0.84875	0.15875
800	0.09125	0.04375	0.75875	0.10625	0.865	0.15
1200	0.12875	0.03875	0.70625	0.12625	0.8325	0.165
1600	0.115	0.04125	0.74	0.10375	0.84375	0.145
2000	0.10625	0.04	0.7425	0.11125	0.85375	0.15125
2400	0.1225	0.045	0.735	0.0975	0.8325	0.1425
2800	0.15	0.04375	0.69	0.11625	0.80625	0.16
3200	0.1125	0.035	0.75125	0.10125	0.8525	0.13625
3600	0.145	0.04625	0.6975	0.11125	0.80875	0.1575
4000	0.13875	0.0375	0.70875	0.115	0.82375	0.1525
4400	0.19875	0.0225	0.69375	0.085	0.77875	0.1075
4800	0.1925	0.03	0.6525	0.125	0.7775	0.155
5200	0.24	0.04875	0.63	0.08125	0.71125	0.13
5600	0.28875	0.04	0.555	0.11625	0.67125	0.15625
6000	0.4325	0.07375	0.42	0.07375	0.49375	0.1475
6400	0.45125	0.07	0.405	0.07375	0.47875	0.14375
6800	0.3975	0.07625	0.43875	0.0875	0.52625	0.16375
7200	0.43375	0.0625	0.41625	0.0875	0.50375	0.15
7600	0.415	0.07	0.42875	0.08625	0.515	0.15625
8000	0.4175	0.07625	0.42125	0.085	0.50625	0.16125
8400	0.4575	0.075	0.39875	0.06875	0.4675	0.14375
8800	0.415	0.06375	0.4325	0.08875	0.52125	0.1525
9200	0.4375	0.06125	0.43625	0.065	0.50125	0.12625
9600	0.4075	0.08	0.4275	0.085	0.5125	0.165
10000	0.4075	0.0875	0.42375	0.08125	0.505	0.16875
10400	0.425	0.05875	0.435	0.08125	0.51625	0.14
10800	0.44375	0.07125	0.41375	0.07125	0.485	0.1425
11200	0.45875	0.0625	0.40125	0.0775	0.47875	0.14
11600	0.4625	0.0825	0.39	0.065	0.455	0.1475
12000	0.43375	0.08125	0.3875	0.0975	0.485	0.17875
12400	0.41625	0.0725	0.43125	0.08	0.51125	0.1525
12800	0.4275	0.06875	0.4075	0.09625	0.50375	0.165
13200	0.42125	0.0675	0.42	0.09125	0.51125	0.15875
13600	0.41375	0.08875	0.42375	0.07375	0.4975	0.1625
14000	0.435	0.05875	0.4125	0.09375	0.50625	0.1525
14400	0.4075	0.06375	0.41875	0.11	0.52875	0.17375
14800	0.42625	0.0925	0.39625	0.085	0.48125	0.1775
15200	0.41125	0.06	0.43875	0.09	0.52875	0.15
15600	0.4525	0.0875	0.37875	0.08125	0.46	0.16875
16000	0.43625	0.07375	0.3875	0.1025	0.49	0.17625
16400	0.395	0.08375	0.43	0.09125	0.52125	0.175
16800	0.39	0.07875	0.4325	0.09875	0.53125	0.1775
17200	0.43	0.06875	0.40875	0.0925	0.50125	0.16125
17600	0.43875	0.07	0.40125	0.09	0.49125	0.16
18000	0.4325	0.0775	0.3725	0.1175	0.49	0.195
18400	0.4575	0.0625	0.38625	0.09375	0.48	0.15625
18800	0.4375	0.08125	0.4075	0.07375	0.48125	0.155
19200	0.42125	0.07625	0.4	0.1025	0.5025	0.17875
19600	0.4175	0.0725	0.44125	0.06875	0.51	0.14125
20000	0.445	0.075	0.39	0.09	0.48	0.165
