# t_pulse_set	su_S_North
# "t_pulse"	"su_S_North"
# 21
18	0.396666666666667
18.5	0.246666666666667
19	0.16
19.5	0.11
20	0.103333333333333
20.5	0.176666666666667
21	0.333333333333333
21.5	0.503333333333333
22	0.58
22.5	0.796666666666667
23	0.856666666666667
23.5	0.883333333333333
24	0.906666666666667
24.5	0.776666666666667
25	0.756666666666667
25.5	0.58
26	0.476666666666667
26.5	0.313333333333333
27	0.203333333333333
27.5	0.113333333333333
28	0.113333333333333
