# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.128333333333333
0.6	0.08
1.2	0.0766666666666667
1.8	0.0866666666666667
2.4	0.09
3	0.095
3.6	0.095
4.2	0.123333333333333
4.8	0.118333333333333
5.4	0.111666666666667
6	0.115
6.6	0.108333333333333
7.2	0.0783333333333333
7.8	0.085
8.4	0.0916666666666667
9	0.085
9.6	0.08
10.2	0.113333333333333
10.8	0.135
11.4	0.133333333333333
12	0.176666666666667
12.6	0.236666666666667
13.2	0.323333333333333
13.8	0.378333333333333
14.4	0.403333333333333
15	0.551666666666667
15.6	0.501666666666667
16.2	0.606666666666667
16.8	0.701666666666667
17.4	0.753333333333333
18	0.805
18.6	0.835
19.2	0.85
19.8	0.868333333333333
20.4	0.866666666666667
21	0.831666666666667
21.6	0.821666666666667
22.2	0.741666666666667
22.8	0.7
23.4	0.668333333333333
24	0.578333333333333
24.6	0.463333333333333
25.2	0.468333333333333
25.8	0.356666666666667
26.4	0.32
27	0.231666666666667
27.6	0.201666666666667
28.2	0.161666666666667
28.8	0.125
29.4	0.1
30	0.0833333333333333
30.6	0.115
31.2	0.0966666666666667
31.8	0.09
32.4	0.108333333333333
33	0.105
33.6	0.103333333333333
34.2	0.111666666666667
34.8	0.0966666666666667
35.4	0.0933333333333333
36	0.1
36.6	0.0866666666666667
37.2	0.105
37.8	0.075
38.4	0.0666666666666667
39	0.0883333333333333
39.6	0.09
40.2	0.103333333333333
40.8	0.13
41.4	0.175
42	0.243333333333333
42.6	0.265
43.2	0.351666666666667
43.8	0.423333333333333
44.4	0.481666666666667
45	0.6
45.6	0.618333333333333
46.2	0.708333333333333
46.8	0.718333333333333
47.4	0.756666666666667
48	0.831666666666667
48.6	0.848333333333333
49.2	0.85
49.8	0.87
50.4	0.836666666666667
51	0.82
51.6	0.768333333333333
52.2	0.75
52.8	0.675
53.4	0.596666666666667
54	0.538333333333333
54.6	0.48
55.2	0.395
55.8	0.29
56.4	0.261666666666667
57	0.21
57.6	0.128333333333333
58.2	0.15
58.8	0.111666666666667
59.4	0.0866666666666667
60	0.095
