# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.338333333333333
0.6	0.283333333333333
1.2	0.211666666666667
1.8	0.131666666666667
2.4	0.108333333333333
3	0.0716666666666667
3.6	0.08
4.2	0.108333333333333
4.8	0.15
5.4	0.198333333333333
6	0.331666666666667
6.6	0.446666666666667
7.2	0.493333333333333
7.8	0.626666666666667
8.4	0.726666666666667
9	0.806666666666667
9.6	0.858333333333333
10.2	0.908333333333333
10.8	0.946666666666667
11.4	0.941666666666667
12	0.906666666666667
12.6	0.858333333333333
13.2	0.798333333333333
13.8	0.721666666666667
14.4	0.613333333333333
15	0.533333333333333
15.6	0.453333333333333
16.2	0.398333333333333
16.8	0.215
17.4	0.13
18	0.1
18.6	0.08
19.2	0.06
19.8	0.1
20.4	0.128333333333333
21	0.221666666666667
21.6	0.296666666666667
22.2	0.391666666666667
22.8	0.508333333333333
23.4	0.518333333333333
24	0.565
24.6	0.628333333333333
25.2	0.643333333333333
25.8	0.685
26.4	0.695
27	0.655
27.6	0.565
28.2	0.53
28.8	0.42
29.4	0.378333333333333
30	0.298333333333333
30.6	0.21
31.2	0.131666666666667
31.8	0.12
32.4	0.08
33	0.075
33.6	0.111666666666667
34.2	0.126666666666667
34.8	0.211666666666667
35.4	0.295
36	0.39
36.6	0.5
37.2	0.585
37.8	0.686666666666667
38.4	0.805
39	0.843333333333333
39.6	0.89
40.2	0.926666666666667
40.8	0.945
41.4	0.92
42	0.87
42.6	0.778333333333333
43.2	0.723333333333333
43.8	0.656666666666667
44.4	0.52
45	0.408333333333333
45.6	0.295
46.2	0.241666666666667
46.8	0.178333333333333
47.4	0.09
48	0.0933333333333333
48.6	0.0966666666666667
49.2	0.0966666666666667
49.8	0.126666666666667
50.4	0.161666666666667
51	0.253333333333333
51.6	0.341666666666667
52.2	0.421666666666667
52.8	0.49
53.4	0.551666666666667
54	0.6
54.6	0.66
55.2	0.663333333333333
55.8	0.676666666666667
56.4	0.663333333333333
57	0.591666666666667
57.6	0.543333333333333
58.2	0.485
58.8	0.401666666666667
59.4	0.355
60	0.223333333333333
