# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 126
0	0.955
400	0.9525
800	0.9525
1200	0.9475
1600	0.945
2000	0.935
2400	0.94
2800	0.93875
3200	0.92625
3600	0.92875
4000	0.905
4400	0.91125
4800	0.87875
5200	0.81625
5600	0.80375
6000	0.765
6400	0.7425
6800	0.74125
7200	0.7325
7600	0.69875
8000	0.68
8400	0.68
8800	0.5975
9200	0.61375
9600	0.5675
10000	0.58125
10400	0.58875
10800	0.5975
11200	0.59125
11600	0.59
12000	0.5875
12400	0.60625
12800	0.58125
13200	0.62375
13600	0.53375
14000	0.5875
14400	0.59625
14800	0.60625
15200	0.59
15600	0.605
16000	0.56625
16400	0.59625
16800	0.61375
17200	0.58125
17600	0.60625
18000	0.5925
18400	0.63
18800	0.58375
19200	0.55625
19600	0.53375
20000	0.56875
20400	0.59
20800	0.58
21200	0.56125
21600	0.59625
22000	0.59
22400	0.56625
22800	0.5725
23200	0.61625
23600	0.63125
24000	0.57875
24400	0.5975
24800	0.5625
25200	0.58
25600	0.5625
26000	0.585
26400	0.57
26800	0.57375
27200	0.5925
27600	0.58875
28000	0.5475
28400	0.5575
28800	0.545
29200	0.57875
29600	0.5775
30000	0.595
30400	0.5625
30800	0.59
31200	0.5675
31600	0.53125
32000	0.56375
32400	0.555
32800	0.5525
33200	0.55875
33600	0.5525
34000	0.57
34400	0.54625
34800	0.54375
35200	0.53125
35600	0.57
36000	0.53875
36400	0.555
36800	0.53625
37200	0.5375
37600	0.5225
38000	0.56125
38400	0.5425
38800	0.51375
39200	0.56
39600	0.5625
40000	0.55
40400	0.5675
40800	0.53875
41200	0.5675
41600	0.52125
42000	0.51625
42400	0.535
42800	0.52625
43200	0.53
43600	0.54625
44000	0.56
44400	0.54875
44800	0.515
45200	0.53
45600	0.5325
46000	0.55875
46400	0.545
46800	0.56125
47200	0.51875
47600	0.5175
48000	0.55375
48400	0.52125
48800	0.55375
49200	0.52625
49600	0.57875
50000	0.54125
