# t_cz_set	avg_S_North	su_S_North
# "t_cz"	"avg_S_North"	"su_S_North"
# 101
0	161.4208984375	0.693333333333333
40	157.522379557292	0.643333333333333
80	153.264973958333	0.58
120	146.857299804688	0.476666666666667
160	144.002482096354	0.426666666666667
200	142.161661783854	0.393333333333333
240	138.398640950521	0.33
280	135.906372070312	0.3
320	136.240234375	0.28
360	132.445882161458	0.23
400	131.337687174479	0.24
440	129.741414388021	0.206666666666667
480	130.549926757812	0.216666666666667
520	129.369099934896	0.213333333333333
560	130.328572591146	0.22
600	130.980631510417	0.24
640	134.533894856771	0.296666666666667
680	141.152140299479	0.366666666666667
720	142.390747070312	0.393333333333333
760	141.672566731771	0.383333333333333
800	141.240030924479	0.396666666666667
840	148.977457682292	0.503333333333333
880	155.474650065104	0.646666666666667
920	150.609130859375	0.543333333333333
960	154.387817382812	0.606666666666667
1000	156.845092773438	0.656666666666667
1040	161.725463867188	0.733333333333333
1080	163.114217122396	0.753333333333333
1120	167.295939127604	0.8
1160	170.710856119792	0.85
1200	171.011149088542	0.86
1240	169.860026041667	0.836666666666667
1280	169.261678059896	0.853333333333333
1320	169.877115885417	0.866666666666667
1360	167.047729492188	0.813333333333333
1400	168.307088216146	0.843333333333333
1440	167.526448567708	0.82
1480	165.515747070312	0.773333333333333
1520	158.567097981771	0.686666666666667
1560	157.601318359375	0.673333333333333
1600	147.144978841146	0.516666666666667
1640	148.926798502604	0.553333333333333
1680	146.532389322917	0.513333333333333
1720	146.865844726562	0.503333333333333
1760	146.841837565104	0.503333333333333
1800	146.795654296875	0.476666666666667
1840	138.951619466146	0.356666666666667
1880	143.45947265625	0.436666666666667
1920	133.850708007812	0.273333333333333
1960	131.137084960938	0.246666666666667
2000	129.367879231771	0.246666666666667
2040	131.034545898438	0.256666666666667
2080	127.294921875	0.183333333333333
2120	133.683064778646	0.303333333333333
2160	132.624104817708	0.273333333333333
2200	132.409464518229	0.276666666666667
2240	129.155069986979	0.216666666666667
2280	131.992390950521	0.266666666666667
2320	134.201049804688	0.313333333333333
2360	136.130574544271	0.323333333333333
2400	141.679077148438	0.4
2440	141.381632486979	0.38
2480	139.746704101562	0.37
2520	146.790771484375	0.453333333333333
2560	149.426676432292	0.516666666666667
2600	143.465576171875	0.426666666666667
2640	158.718058268229	0.65
2680	152.504475911458	0.57
2720	165.766398111979	0.793333333333333
2760	158.668009440104	0.693333333333333
2800	162.046712239583	0.76
2840	163.967081705729	0.76
2880	163.788655598958	0.756666666666667
2920	160.322672526042	0.706666666666667
2960	162.250162760417	0.76
3000	164.644368489583	0.776666666666667
3040	164.735921223958	0.786666666666667
3080	161.330973307292	0.713333333333333
3120	162.26806640625	0.743333333333333
3160	161.51123046875	0.736666666666667
3200	157.678833007812	0.67
3240	148.113403320312	0.54
3280	160.414021809896	0.69
3320	152.174275716146	0.556666666666667
3360	136.3623046875	0.336666666666667
3400	139.234415690104	0.396666666666667
3440	148.402709960938	0.536666666666667
3480	141.372680664062	0.433333333333333
3520	147.232869466146	0.51
3560	142.242838541667	0.416666666666667
3600	138.723347981771	0.376666666666667
3640	135.801188151042	0.333333333333333
3680	132.520345052083	0.28
3720	146.158447265625	0.493333333333333
3760	133.889567057292	0.3
3800	141.05712890625	0.42
3840	138.899332682292	0.376666666666667
3880	139.422200520833	0.376666666666667
3920	146.359456380208	0.506666666666667
3960	148.236897786458	0.536666666666667
4000	139.699096679688	0.393333333333333
