# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	138.618469238281	0.22
0.25	135.236206054688	0.14
0.5	136.014099121094	0.155
0.75	130.439147949219	0.07
1	128.223876953125	0.06
1.25	128.200073242188	0.08
1.5	136.203308105469	0.185
1.75	140.778198242188	0.225
2	146.238403320312	0.32
2.25	146.172790527344	0.365
2.5	159.171142578125	0.555
2.75	160.449829101562	0.55
3	165.327758789062	0.655
3.25	166.440734863281	0.68
3.5	176.763305664062	0.82
3.75	179.737854003906	0.86
4	182.612915039062	0.92
4.25	182.066345214844	0.915
4.5	182.186279296875	0.915
4.75	179.455871582031	0.87
5	177.492980957031	0.835
5.25	174.155883789062	0.79
5.5	169.809875488281	0.725
5.75	160.726623535156	0.585
6	157.344665527344	0.545
6.25	159.394226074219	0.55
6.5	148.668823242188	0.37
6.75	144.37744140625	0.32
7	135.119323730469	0.16
7.25	133.779907226562	0.145
7.5	131.576843261719	0.12
7.75	133.314208984375	0.12
8	132.127685546875	0.09
8.25	130.207214355469	0.055
8.5	133.789672851562	0.135
8.75	139.572448730469	0.22
9	145.043029785156	0.285
9.25	147.994689941406	0.355
9.5	156.237487792969	0.475
9.75	159.3212890625	0.54
10	163.017578125	0.605
10.25	166.229248046875	0.65
10.5	168.549499511719	0.69
10.75	167.591552734375	0.685
11	174.346313476562	0.805
11.25	175.790710449219	0.79
11.5	174.781188964844	0.815
11.75	172.623291015625	0.76
12	168.512268066406	0.71
12.25	169.527282714844	0.725
12.5	165.115051269531	0.65
12.75	157.868041992188	0.535
13	159.903869628906	0.56
13.25	149.706115722656	0.43
13.5	144.407958984375	0.31
13.75	143.777465820312	0.295
14	134.945068359375	0.165
14.25	134.087219238281	0.165
14.5	129.950561523438	0.115
14.75	128.207092285156	0.085
15	128.25439453125	0.08
15.25	128.873901367188	0.1
15.5	133.809814453125	0.155
15.75	135.733642578125	0.195
16	140.841369628906	0.285
16.25	145.924682617188	0.345
16.5	149.787902832031	0.4
16.75	160.918273925781	0.585
17	162.932434082031	0.635
17.25	168.906555175781	0.705
17.5	172.520141601562	0.76
17.75	175.862121582031	0.82
18	178.939514160156	0.865
18.25	183.284912109375	0.91
18.5	183.631591796875	0.92
18.75	183.688049316406	0.92
19	181.112976074219	0.87
19.25	176.302185058594	0.825
19.5	173.1201171875	0.77
19.75	169.058227539062	0.715
20	163.103332519531	0.61
20.25	161.26708984375	0.54
20.5	153.625793457031	0.45
20.75	143.775939941406	0.335
21	140.143737792969	0.25
21.25	131.491394042969	0.11
21.5	133.644104003906	0.16
21.75	132.506713867188	0.13
22	131.162414550781	0.1
22.25	129.197082519531	0.055
22.5	134.405517578125	0.125
22.75	134.541320800781	0.155
23	139.235534667969	0.245
23.25	141.092834472656	0.265
23.5	145.839233398438	0.3
23.75	154.819030761719	0.45
24	157.828063964844	0.505
24.25	162.694702148438	0.615
24.5	168.177795410156	0.685
24.75	168.11279296875	0.68
25	175.200500488281	0.785
25.25	176.097412109375	0.795
25.5	173.258666992188	0.76
25.75	175.369567871094	0.79
26	175.616149902344	0.78
26.25	171.933288574219	0.75
26.5	167.448120117188	0.65
26.75	164.246215820312	0.62
27	155.877990722656	0.475
27.25	155.646057128906	0.48
27.5	144.2919921875	0.33
27.75	143.875122070312	0.325
28	140.469360351562	0.235
28.25	135.616149902344	0.205
28.5	129.328308105469	0.1
28.75	129.90478515625	0.085
29	127.8515625	0.06
29.25	131.037902832031	0.12
29.5	132.959594726562	0.115
29.75	133.549194335938	0.175
30	140.3515625	0.275
