# waittime_set	su_trig0	su_trig1
# "waittime"	"su_trig0"	"su_trig1"
# 51
0	0.84375	0.155
400	0.81875	0.16875
800	0.82	0.175
1200	0.82375	0.16875
1600	0.845	0.17625
2000	0.84625	0.1275
2400	0.83875	0.135
2800	0.82	0.15125
3200	0.78875	0.145
3600	0.78125	0.1425
4000	0.77	0.135
4400	0.73125	0.115
4800	0.69625	0.14125
5200	0.62375	0.1375
5600	0.58375	0.11625
6000	0.57375	0.11875
6400	0.5875	0.13125
6800	0.57	0.1225
7200	0.555	0.1475
7600	0.595	0.11125
8000	0.5675	0.1525
8400	0.57375	0.10875
8800	0.5625	0.1175
9200	0.525	0.11875
9600	0.52375	0.12375
10000	0.52625	0.0975
10400	0.505	0.10625
10800	0.5125	0.13375
11200	0.48	0.11875
11600	0.505	0.115
12000	0.52125	0.1175
12400	0.5125	0.0925
12800	0.54625	0.115
13200	0.50875	0.1
13600	0.51875	0.11375
14000	0.54375	0.10125
14400	0.52	0.1375
14800	0.505	0.1075
15200	0.45875	0.12375
15600	0.495	0.13625
16000	0.47375	0.1
16400	0.48625	0.0975
16800	0.48	0.12375
17200	0.465	0.1125
17600	0.4825	0.095
18000	0.47125	0.105
18400	0.48875	0.1125
18800	0.44375	0.09625
19200	0.445	0.10625
19600	0.455	0.0775
20000	0.47375	0.095
