# t_pulse_set	su_S_North
# "t_pulse"	"su_S_North"
# 21
18	0.85
18.5	0.92
19	0.903333333333333
19.5	0.863333333333333
20	0.833333333333333
20.5	0.72
21	0.593333333333333
21.5	0.456666666666667
22	0.413333333333333
22.5	0.243333333333333
23	0.18
23.5	0.113333333333333
24	0.113333333333333
24.5	0.143333333333333
25	0.21
25.5	0.31
26	0.353333333333333
26.5	0.51
27	0.63
27.5	0.773333333333333
28	0.823333333333333
