# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	130.405883789062	0.085
0.25	131.3671875	0.11
0.5	132.141418457031	0.11
0.75	129.241943359375	0.105
1	130.506591796875	0.105
1.25	129.103088378906	0.06
1.5	131.086120605469	0.085
1.75	128.448181152344	0.055
2	131.984252929688	0.11
2.25	131.890258789062	0.125
2.5	129.482421875	0.07
2.75	130.394287109375	0.075
3	131.502990722656	0.085
3.25	130.225830078125	0.085
3.5	131.416625976562	0.09
3.75	132.86376953125	0.12
4	129.443359375	0.075
4.25	132.450256347656	0.09
4.5	130.510864257812	0.1
4.75	133.356018066406	0.155
5	131.255493164062	0.11
5.25	132.308349609375	0.12
5.5	131.609497070312	0.105
5.75	130.066833496094	0.1
6	130.317687988281	0.09
6.25	128.174133300781	0.06
6.5	131.979370117188	0.125
6.75	132.462768554688	0.135
7	134.33349609375	0.155
7.25	136.026916503906	0.185
7.5	132.575988769531	0.13
7.75	135.794067382812	0.19
8	131.070251464844	0.14
8.25	134.021606445312	0.145
8.5	135.5126953125	0.18
8.75	132.845458984375	0.17
9	133.175354003906	0.18
9.25	136.264038085938	0.185
9.5	137.365417480469	0.205
9.75	139.723510742188	0.245
10	137.852172851562	0.195
10.25	136.723937988281	0.2
10.5	141.881103515625	0.255
10.75	134.890747070312	0.185
11	137.062072753906	0.185
11.25	134.225463867188	0.14
11.5	137.995300292969	0.2
11.75	133.162536621094	0.14
12	137.839050292969	0.185
12.25	135.267944335938	0.16
12.5	136.765441894531	0.18
12.75	132.1435546875	0.135
13	129.463806152344	0.095
13.25	132.039489746094	0.11
13.5	131.223754882812	0.105
13.75	134.581298828125	0.15
14	129.143371582031	0.085
14.25	131.161804199219	0.115
14.5	129.716491699219	0.09
14.75	132.723388671875	0.1
15	130.015563964844	0.07
15.25	134.721984863281	0.12
15.5	133.576354980469	0.125
15.75	132.605590820312	0.11
16	132.562866210938	0.105
16.25	129.432983398438	0.09
16.5	129.362182617188	0.085
16.75	127.830505371094	0.05
17	132.286071777344	0.12
17.25	128.368225097656	0.065
17.5	129.86328125	0.08
17.75	129.559326171875	0.065
18	132.489013671875	0.095
18.25	130.009460449219	0.07
18.5	131.165771484375	0.075
18.75	130.050659179688	0.085
19	132.709655761719	0.095
19.25	130.497741699219	0.07
19.5	131.788024902344	0.1
19.75	128.810729980469	0.06
20	133.044738769531	0.13
20.25	132.734680175781	0.105
20.5	137.531127929688	0.15
20.75	131.444091796875	0.1
21	131.1865234375	0.1
21.25	132.847595214844	0.145
21.5	131.702880859375	0.14
21.75	132.583923339844	0.14
22	135.141296386719	0.155
22.25	136.980285644531	0.175
22.5	139.022521972656	0.215
22.75	139.589233398438	0.23
23	139.227600097656	0.195
23.25	137.3388671875	0.2
23.5	138.173217773438	0.215
23.75	137.831726074219	0.23
24	135.364379882812	0.16
24.25	139.983215332031	0.23
24.5	136.863708496094	0.21
24.75	134.614562988281	0.15
25	137.984313964844	0.195
25.25	137.160949707031	0.195
25.5	134.569702148438	0.16
25.75	132.891235351562	0.17
26	133.359680175781	0.165
26.25	133.01025390625	0.17
26.5	133.04931640625	0.175
26.75	130.941162109375	0.12
27	130.37353515625	0.095
27.25	131.8798828125	0.1
27.5	131.780090332031	0.1
27.75	133.719482421875	0.12
28	131.528930664062	0.095
28.25	131.864013671875	0.105
28.5	131.319885253906	0.1
28.75	132.295837402344	0.11
29	130.788879394531	0.08
29.25	131.074829101562	0.09
29.5	131.285400390625	0.1
29.75	129.785766601562	0.065
30	128.846740722656	0.055
