# waittime_end_set	su_S_North
# "waittime_end"	"su_S_North"
# 21
0	0.766
30	0.743
60	0.716
90	0.702
120	0.672
150	0.658
180	0.669
210	0.629
240	0.603
270	0.635
300	0.6
330	0.651
360	0.677
390	0.725
420	0.702
450	0.706
480	0.668
510	0.661
540	0.672
570	0.593
600	0.662
