# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 27
0	0.78
37	0.373333333333333
74	0.323333333333333
111	0.523333333333333
148	0.813333333333333
185	0.843333333333333
222	0.64
259	0.326666666666667
296	0.426666666666667
333	0.656666666666667
370	0.843333333333333
407	0.736666666666667
444	0.41
481	0.31
518	0.52
555	0.79
592	0.723333333333333
629	0.52
666	0.373333333333333
703	0.47
740	0.783333333333333
777	0.713333333333333
814	0.583333333333333
851	0.436666666666667
888	0.533333333333333
925	0.583333333333333
962	0.606666666666667
