# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 51
0	0.42
320	0.916666666666667
640	0.92
960	0.903333333333333
1280	0.916666666666667
1600	0.866666666666667
1920	0.86
2240	0.826666666666667
2560	0.836666666666667
2880	0.753333333333333
3200	0.62
3520	0.563333333333333
3840	0.583333333333333
4160	0.636666666666667
4480	0.583333333333333
4800	0.59
5120	0.603333333333333
5440	0.54
5760	0.566666666666667
6080	0.533333333333333
6400	0.53
6720	0.556666666666667
7040	0.566666666666667
7360	0.536666666666667
7680	0.586666666666667
8000	0.53
8320	0.52
8640	0.583333333333333
8960	0.586666666666667
9280	0.58
9600	0.583333333333333
9920	0.606666666666667
10240	0.49
10560	0.596666666666667
10880	0.576666666666667
11200	0.596666666666667
11520	0.556666666666667
11840	0.633333333333333
12160	0.54
12480	0.54
12800	0.573333333333333
13120	0.583333333333333
13440	0.553333333333333
13760	0.583333333333333
14080	0.59
14400	0.543333333333333
14720	0.63
15040	0.62
15360	0.586666666666667
15680	0.53
16000	0.55
