# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 51
0	0.96
400	0.966666666666667
800	0.943333333333333
1200	0.95
1600	0.94
2000	0.97
2400	0.966666666666667
2800	0.94
3200	0.943333333333333
3600	0.94
4000	0.92
4400	0.893333333333333
4800	0.896666666666667
5200	0.82
5600	0.833333333333333
6000	0.803333333333333
6400	0.8
6800	0.753333333333333
7200	0.746666666666667
7600	0.68
8000	0.66
8400	0.64
8800	0.633333333333333
9200	0.596666666666667
9600	0.586666666666667
10000	0.676666666666667
10400	0.61
10800	0.606666666666667
11200	0.63
11600	0.583333333333333
12000	0.566666666666667
12400	0.593333333333333
12800	0.57
13200	0.55
13600	0.53
14000	0.543333333333333
14400	0.573333333333333
14800	0.576666666666667
15200	0.596666666666667
15600	0.513333333333333
16000	0.563333333333333
16400	0.593333333333333
16800	0.59
17200	0.6
17600	0.55
18000	0.573333333333333
18400	0.573333333333333
18800	0.586666666666667
19200	0.603333333333333
19600	0.556666666666667
20000	0.556666666666667
