# sig_gen2_power_set	waittime_set	su_S_North
# "Power"	"waittime"	"su_S_North"
# 10	201
-1.9	15960	0.66
-1.9	16128	0.54
-1.9	16296	0.6
-1.9	16464	0.42
-1.9	16632	0.34
-1.9	16800	0.56
-1.9	16968	0.52
-1.9	17136	0.46
-1.9	17304	0.54
-1.9	17472	0.44
-1.9	17640	0.56
-1.9	17808	0.42
-1.9	17976	0.54
-1.9	18144	0.64
-1.9	18312	0.62
-1.9	18480	0.54
-1.9	18648	0.62
-1.9	18816	0.6
-1.9	18984	0.42
-1.9	19152	0.58
-1.9	19320	0.64
-1.9	19488	0.46
-1.9	19656	0.46
-1.9	19824	0.4
-1.9	19992	0.56
-1.9	20160	0.64
-1.9	20328	0.54
-1.9	20496	0.38
-1.9	20664	0.56
-1.9	20832	0.36
-1.9	21000	0.4
-1.9	21168	0.54
-1.9	21336	0.68
-1.9	21504	0.46
-1.9	21672	0.36
-1.9	21840	0.56
-1.9	22008	0.64
-1.9	22176	0.62
-1.9	22344	0.48
-1.9	22512	0.56
-1.9	22680	0.48
-1.9	22848	0.56
-1.9	23016	0.48
-1.9	23184	0.44
-1.9	23352	0.6
-1.9	23520	0.46
-1.9	23688	0.56
-1.9	23856	0.52
-1.9	24024	0.48
-1.9	24192	0.44
-1.9	24360	0.52
-1.9	24528	0.46
-1.9	24696	0.44
-1.9	24864	0.58
-1.9	25032	0.62
-1.9	25200	0.64
-1.9	25368	0.42
-1.9	25536	0.6
-1.9	25704	0.64
-1.9	25872	0.6
-1.9	26040	0.5
-1.9	26208	0.52
-1.9	26376	0.62
-1.9	26544	0.54
-1.9	26712	0.48
-1.9	26880	0.54
-1.9	27048	0.62
-1.9	27216	0.54
-1.9	27384	0.44
-1.9	27552	0.56
-1.9	27720	0.48
-1.9	27888	0.52
-1.9	28056	0.48
-1.9	28224	0.66
-1.9	28392	0.56
-1.9	28560	0.66
-1.9	28728	0.52
-1.9	28896	0.58
-1.9	29064	0.48
-1.9	29232	0.44
-1.9	29400	0.64
-1.9	29568	0.5
-1.9	29736	0.54
-1.9	29904	0.5
-1.9	30072	0.46
-1.9	30240	0.48
-1.9	30408	0.5
-1.9	30576	0.56
-1.9	30744	0.56
-1.9	30912	0.58
-1.9	31080	0.48
-1.9	31248	0.38
-1.9	31416	0.52
-1.9	31584	0.56
-1.9	31752	0.6
-1.9	31920	0.44
-1.9	32088	0.44
-1.9	32256	0.48
-1.9	32424	0.64
-1.9	32592	0.5
-1.9	32760	0.46
-1.9	32928	0.48
-1.9	33096	0.52
-1.9	33264	0.5
-1.9	33432	0.46
-1.9	33600	0.56

-1.8	0	0.96
-1.8	168	0.98
-1.8	336	0.8
-1.8	504	0.74
-1.8	672	0.72
-1.8	840	0.3
-1.8	1008	0.22
-1.8	1176	0.22
-1.8	1344	0.16
-1.8	1512	0.12
-1.8	1680	0.08
-1.8	1848	0.18
-1.8	2016	0.3
-1.8	2184	0.26
-1.8	2352	0.54
-1.8	2520	0.64
-1.8	2688	0.82
-1.8	2856	0.86
-1.8	3024	0.92
-1.8	3192	0.96
-1.8	3360	0.94
-1.8	3528	0.74
-1.8	3696	0.76
-1.8	3864	0.62
-1.8	4032	0.36
-1.8	4200	0.4
-1.8	4368	0.26
-1.8	4536	0.22
-1.8	4704	0.22
-1.8	4872	0.32
-1.8	5040	0.22
-1.8	5208	0.18
-1.8	5376	0.22
-1.8	5544	0.3
-1.8	5712	0.72
-1.8	5880	0.7
-1.8	6048	0.76
-1.8	6216	0.84
-1.8	6384	0.82
-1.8	6552	0.94
-1.8	6720	0.82
-1.8	6888	0.66
-1.8	7056	0.72
-1.8	7224	0.46
-1.8	7392	0.28
-1.8	7560	0.48
-1.8	7728	0.42
-1.8	7896	0.38
-1.8	8064	0.26
-1.8	8232	0.34
-1.8	8400	0.24
-1.8	8568	0.34
-1.8	8736	0.48
-1.8	8904	0.7
-1.8	9072	0.76
-1.8	9240	0.66
-1.8	9408	0.68
-1.8	9576	0.84
-1.8	9744	0.82
-1.8	9912	0.6
-1.8	10080	0.8
-1.8	10248	0.68
-1.8	10416	0.56
-1.8	10584	0.58
-1.8	10752	0.3
-1.8	10920	0.44
-1.8	11088	0.3
-1.8	11256	0.36
-1.8	11424	0.3
-1.8	11592	0.32
-1.8	11760	0.56
-1.8	11928	0.54
-1.8	12096	0.72
-1.8	12264	0.58
-1.8	12432	0.48
-1.8	12600	0.46
-1.8	12768	0.78
-1.8	12936	0.78
-1.8	13104	0.72
-1.8	13272	0.74
-1.8	13440	0.76
-1.8	13608	0.58
-1.8	13776	0.5
-1.8	13944	0.66
-1.8	14112	0.68
-1.8	14280	0.46
-1.8	14448	0.56
-1.8	14616	0.28
-1.8	14784	0.44
-1.8	14952	0.28
-1.8	15120	0.52
-1.8	15288	0.34
-1.8	15456	0.52
-1.8	15624	0.48
-1.8	15792	0.5
-1.8	15960	0.44
-1.8	16128	0.5
-1.8	16296	0.62
-1.8	16464	0.58
-1.8	16632	0.44
-1.8	16800	0.44
-1.8	16968	0.6
-1.8	17136	0.48
-1.8	17304	0.44
-1.8	17472	0.48
-1.8	17640	0.38
-1.8	17808	0.5
-1.8	17976	0.42
-1.8	18144	0.52
-1.8	18312	0.32
-1.8	18480	0.5
-1.8	18648	0.5
-1.8	18816	0.6
-1.8	18984	0.6
-1.8	19152	0.58
