# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.1275	0.55625	0.17	0.14625	0.31625	0.7025
1600	0.14875	0.4925	0.2	0.15875	0.35875	0.65125
3200	0.16	0.53875	0.17375	0.1275	0.30125	0.66625
4800	0.165	0.50375	0.18875	0.1425	0.33125	0.64625
6400	0.22125	0.46125	0.17625	0.14125	0.3175	0.6025
8000	0.2625	0.3975	0.18125	0.15875	0.34	0.55625
9600	0.31625	0.4175	0.135	0.13125	0.26625	0.54875
11200	0.32375	0.39625	0.15625	0.12375	0.28	0.52
12800	0.34125	0.36875	0.1625	0.1275	0.29	0.49625
14400	0.365	0.36125	0.16125	0.1125	0.27375	0.47375
16000	0.39625	0.34375	0.15625	0.10375	0.26	0.4475
17600	0.385	0.3475	0.15125	0.11625	0.2675	0.46375
19200	0.43125	0.325	0.1425	0.10125	0.24375	0.42625
20800	0.4025	0.31	0.1625	0.125	0.2875	0.435
22400	0.4025	0.32625	0.15625	0.115	0.27125	0.44125
24000	0.4	0.31875	0.16625	0.115	0.28125	0.43375
25600	0.4125	0.3	0.1425	0.145	0.2875	0.445
27200	0.3925	0.30625	0.15625	0.145	0.30125	0.45125
28800	0.3925	0.295	0.17	0.1425	0.3125	0.4375
30400	0.39875	0.30875	0.15875	0.13375	0.2925	0.4425
32000	0.39125	0.3575	0.13625	0.115	0.25125	0.4725
33600	0.42375	0.31625	0.14375	0.11625	0.26	0.4325
35200	0.40125	0.3175	0.17	0.11125	0.28125	0.42875
36800	0.41	0.30375	0.1675	0.11875	0.28625	0.4225
38400	0.43	0.29875	0.15875	0.1125	0.27125	0.41125
40000	0.38875	0.33875	0.155	0.1175	0.2725	0.45625
41600	0.40875	0.32	0.1475	0.12375	0.27125	0.44375
43200	0.44125	0.28	0.17875	0.1	0.27875	0.38
44800	0.43	0.28125	0.19125	0.0975	0.28875	0.37875
46400	0.415	0.32	0.15	0.115	0.265	0.435
48000	0.4025	0.2925	0.1875	0.1175	0.305	0.41
49600	0.3775	0.30875	0.1925	0.12125	0.31375	0.43
51200	0.41	0.285	0.175	0.13	0.305	0.415
52800	0.41125	0.3025	0.18375	0.1025	0.28625	0.405
54400	0.41875	0.28375	0.18125	0.11625	0.2975	0.4
56000	0.43125	0.28375	0.15375	0.13125	0.285	0.415
57600	0.405	0.29125	0.1925	0.11125	0.30375	0.4025
59200	0.43875	0.2725	0.17625	0.1125	0.28875	0.385
60800	0.40875	0.30625	0.14625	0.13875	0.285	0.445
62400	0.3825	0.33375	0.14875	0.135	0.28375	0.46875
64000	0.41125	0.29625	0.17375	0.11875	0.2925	0.415
65600	0.38875	0.32875	0.15625	0.12625	0.2825	0.455
67200	0.41125	0.33375	0.14375	0.11125	0.255	0.445
68800	0.3975	0.3275	0.16625	0.10875	0.275	0.43625
70400	0.3975	0.30875	0.1775	0.11625	0.29375	0.425
72000	0.43875	0.2975	0.1425	0.12125	0.26375	0.41875
73600	0.41125	0.28875	0.19	0.11	0.3	0.39875
75200	0.385	0.25625	0.22875	0.13	0.35875	0.38625
76800	0.37875	0.25625	0.23125	0.13375	0.365	0.39
78400	0.42	0.25375	0.21625	0.11	0.32625	0.36375
80000	0.36625	0.245	0.24125	0.1475	0.38875	0.3925
