# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	134.654235839844	0.13
0.25	136.312866210938	0.17
0.5	132.298278808594	0.115
0.75	134.694519042969	0.15
1	137.007446289062	0.17
1.25	134.718322753906	0.15
1.5	130.1904296875	0.105
1.75	129.984436035156	0.085
2	132.596130371094	0.115
2.25	130.826416015625	0.105
2.5	129.116821289062	0.09
2.75	131.387634277344	0.105
3	130.104675292969	0.06
3.25	128.639526367188	0.04
3.5	132.609252929688	0.105
3.75	135.300598144531	0.13
4	134.033508300781	0.145
4.25	136.631164550781	0.195
4.5	144.389343261719	0.295
4.75	141.022644042969	0.275
5	143.517761230469	0.29
5.25	156.762390136719	0.455
5.5	158.467407226562	0.515
5.75	157.734680175781	0.5
6	161.683959960938	0.565
6.25	165.923461914062	0.635
6.5	168.703308105469	0.695
6.75	172.876586914062	0.72
7	168.441162109375	0.675
7.25	174.629821777344	0.775
7.5	174.700927734375	0.79
7.75	175.023498535156	0.78
8	169.661865234375	0.7
8.25	171.185302734375	0.735
8.5	168.2177734375	0.695
8.75	165.802001953125	0.665
9	164.86572265625	0.62
9.25	154.377746582031	0.47
9.5	151.652526855469	0.4
9.75	149.479675292969	0.385
10	149.244995117188	0.405
10.25	146.31591796875	0.32
10.5	141.291198730469	0.245
10.75	141.668701171875	0.24
11	136.232299804688	0.165
11.25	133.102416992188	0.14
11.5	130.298461914062	0.09
11.75	130.447998046875	0.11
12	132.235412597656	0.11
12.25	129.435119628906	0.07
12.5	132.591552734375	0.1
12.75	130.682373046875	0.075
13	134.727172851562	0.12
13.25	132.601318359375	0.1
13.5	133.922729492188	0.105
13.75	134.475708007812	0.13
14	137.161254882812	0.14
14.25	135.668334960938	0.14
14.5	133.420104980469	0.12
14.75	139.166564941406	0.19
15	137.013244628906	0.145
15.25	135.905456542969	0.13
15.5	135.679016113281	0.14
15.75	130.830688476562	0.08
16	132.183532714844	0.115
16.25	132.528381347656	0.095
16.5	132.458190917969	0.095
16.75	129.53125	0.035
17	134.311828613281	0.105
17.25	132.205505371094	0.055
17.5	131.053466796875	0.085
17.75	133.189086914062	0.105
18	132.501525878906	0.105
18.25	136.839599609375	0.18
18.5	141.906433105469	0.245
18.75	148.020324707031	0.33
19	146.884460449219	0.29
19.25	149.761352539062	0.355
19.5	156.2353515625	0.48
19.75	158.551025390625	0.505
20	160.546569824219	0.54
20.25	162.482299804688	0.555
20.5	168.784790039062	0.69
20.75	166.278381347656	0.655
21	171.7919921875	0.72
21.25	170.528869628906	0.74
21.5	174.0087890625	0.79
21.75	171.780090332031	0.745
22	171.755981445312	0.725
22.25	169.175109863281	0.69
22.5	172.074890136719	0.745
22.75	161.783752441406	0.6
23	166.346435546875	0.645
23.25	161.467590332031	0.595
23.5	158.225402832031	0.495
23.75	154.343872070312	0.44
24	149.139404296875	0.37
24.25	145.034484863281	0.32
24.5	140.05859375	0.23
24.75	140.366821289062	0.24
25	136.38916015625	0.175
25.25	134.852600097656	0.15
25.5	129.387817382812	0.075
25.75	131.717529296875	0.085
26	131.3232421875	0.065
26.25	132.112731933594	0.1
26.5	131.488342285156	0.095
26.75	132.402648925781	0.08
27	135.253295898438	0.13
27.25	131.419372558594	0.095
27.5	133.875427246094	0.125
27.75	134.296569824219	0.135
28	133.506469726562	0.135
28.25	133.484191894531	0.18
28.5	139.463806152344	0.195
28.75	135.217590332031	0.145
29	133.840637207031	0.14
29.25	136.392822265625	0.15
29.5	135.221252441406	0.13
29.75	133.91845703125	0.115
30	132.234802246094	0.11
